WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10,WE11,WE12,WE13,WE14,WE15,WE16,WE17,WE18,WE19,WE20,WE21,WE22,WE23,WE24,WE25,WE26,WE27,WE28,WE29,WE30,WE31,WE32,WE33,WE34,WE35,WE36,WE37,WE38,WE39,WE40,WE41,WE42,WE43,WE44,WE45,WE46,WE47,WE48,WE49,WE50,Category1,Category2,Category3,Category4,doc_id,chunk_id,chunk_index,model_version,text_file
0.20000248,0.023039004,-1.3671257,0.45418325,-0.5494358,-0.040256873,0.30210707,0.39642158,0.42217964,0.15882945,-0.10305499,0.171415,-1.0712473,-0.38135836,0.31733295,-0.13914034,-0.38719568,-0.5335026,-0.16357584,-0.2607562,0.019922936,0.051876966,0.27837926,0.44107652,0.26038066,-0.49484593,-0.7227649,0.20856333,-0.50426334,-0.17396075,-0.067474306,0.19894864,0.26576704,-0.88174194,-0.09076339,0.32586026,-0.0068249744,-0.21604626,-0.45743,0.23579505,0.14745736,-0.5670053,0.105582714,-0.14431271,-0.27663612,-0.37080446,-0.18886198,-0.08045411,0.032244034,0.09613346,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c000,0,human,Human_Aeschines_0026001__c000.txt
-0.29828176,0.34349757,-0.8094315,0.12818812,1.2550005,1.046665,1.7678946,0.2489074,0.51894224,-0.32113913,-0.87691426,-1.1058218,-0.6806258,-0.00809493,0.33361942,0.0046092276,-0.28217337,0.3624015,0.38740334,-0.43414348,-0.18059826,-0.48929185,0.27550986,-0.038484775,-0.10505525,0.6212494,0.48697132,-0.00440962,-0.87691414,0.787077,1.0299326,0.2658391,-0.13044614,0.26454952,-0.50295675,-0.17139712,-0.29233882,0.0016874453,-0.087369755,0.044030603,0.24098259,0.27195725,0.1302287,-0.22534263,-0.42036662,-0.16205527,0.23144129,0.1882915,-0.043810282,-0.07133351,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c001,1,human,Human_Aeschines_0026001__c001.txt
1.0438704,-0.41373423,-1.0762484,-0.86559284,1.9826465,0.29213497,-0.21063176,-0.8703152,0.19174244,-0.5899805,-0.25622436,-0.17037632,-0.8199302,-0.07621181,-0.28926054,0.24740511,0.05732013,0.20793527,0.33687428,-0.5908282,-0.27793953,-0.5289199,-0.02654651,0.3158949,0.3509931,0.23673488,-0.35964444,0.35650897,0.06487122,0.4912073,0.5652196,0.36624205,0.059152354,0.24811223,-0.11753909,0.17215653,-0.14208482,-0.04968496,-0.17274165,0.12042404,0.2624266,0.6077142,0.2919566,-0.15277362,-0.24288166,-0.16347976,-0.09826431,0.28773543,-0.3019325,-0.32352698,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c002,2,human,Human_Aeschines_0026001__c002.txt
0.06470593,-0.8304806,-0.7723268,0.6742141,1.3829281,-0.024753096,1.3517659,0.1359002,-0.02284515,-0.5107165,-0.5842474,-0.5024256,-0.94899654,-0.794488,-0.10941429,0.33374393,-0.24139261,0.4618761,0.025672643,-0.42826712,-0.32614142,-0.29825258,0.3700929,-0.394376,-0.11108005,-0.37096348,0.6067317,-0.29614514,-0.24526088,0.7211205,1.0896857,0.2897419,0.31029427,0.31753224,-0.05976905,0.14096238,-0.34567657,0.10139119,-0.11093757,0.04243271,-0.115321375,0.40036958,0.19376229,0.31039992,-0.43191397,0.7865496,0.57660097,0.7290463,0.032159425,-0.32586852,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c003,3,human,Human_Aeschines_0026001__c003.txt
0.22630005,-0.018576678,-0.49563843,-0.7933888,1.0968375,-0.60672075,-0.2538608,-0.5181123,-0.74124336,-0.6261395,0.13116546,-0.20863016,0.0502879,-0.38578933,-0.39184794,0.71721894,-0.24689654,0.15681432,-0.57476866,-0.1786991,-0.68056655,0.15877213,0.13991629,-0.22879076,0.49031428,0.16171847,-0.0050587878,-0.11683738,0.08042173,-0.30354014,0.9191099,0.803884,0.31459856,0.43407512,-0.32093507,0.23010418,0.084860496,0.24145983,0.28237075,0.6682905,-0.09265886,0.3221068,0.3905733,-0.3605296,-0.23073982,0.20476733,0.17152478,0.5676992,-0.3207823,0.121053435,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c004,4,human,Human_Aeschines_0026001__c004.txt
0.12120426,-1.1563667,-1.2284365,0.28788698,0.27776203,0.20903276,0.9233956,-0.00188686,0.46881813,-0.46352607,0.038460534,-0.6916938,-0.42104167,-0.26844794,0.21301365,0.007297665,-0.28592697,0.43004602,0.7689964,-0.1305466,-0.13295513,0.08643777,0.17813009,0.2637246,-0.057184935,0.09134986,-0.061639473,0.3122431,0.04074176,-0.17001902,0.13478528,0.33713177,0.622956,-0.026574543,-0.15431097,0.04887563,0.059574563,-0.077904046,-0.5036373,0.2159872,-0.041647986,-0.15119946,0.019545887,-0.22386989,-0.41792443,-0.10503645,0.030846858,0.020744786,0.011294938,-0.15740153,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c005,5,human,Human_Aeschines_0026001__c005.txt
1.0798216,0.6310309,-0.33583042,-0.5478832,0.97562724,-0.9824189,-0.1589706,-0.1427769,-0.5272686,0.30159155,-0.35931435,-1.3430712,-0.81964755,-0.88516957,0.03654359,0.046380293,-0.071826264,-0.058969233,0.02270307,0.1444895,-0.13218626,-0.2689624,0.017514395,0.3306452,0.24045396,-0.07218579,-0.29424432,0.27428794,0.075748295,0.3529454,0.60277754,0.3945449,0.26400903,-0.18630774,-0.15247905,0.4506474,0.19985451,-0.1676966,-0.012278525,0.13507834,-0.18177043,-0.16877727,-0.12798639,-0.010009836,0.1798505,-0.12549181,0.2477662,0.20435242,-0.022849312,0.19784826,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c006,6,human,Human_Aeschines_0026001__c006.txt
1.3757604,0.629242,-1.5034916,-0.51800436,-0.631959,-0.21218923,0.5036349,-0.30621722,0.5160711,0.11461629,0.44444856,-0.32781288,0.4640525,-0.05700583,0.18079217,0.1550432,0.421008,-0.16469759,0.06758069,0.53966695,-0.4306247,0.111979134,0.057556123,0.03395125,-0.2015679,0.06709,-0.14903085,0.23381762,0.21246973,0.32615253,0.061657127,0.07446333,0.050794948,-0.45130435,-0.11073535,0.3803797,0.27454892,-0.18703581,0.3416888,0.08589337,0.083398744,-0.39267942,0.03064543,0.07071578,0.30431983,-0.35351434,0.19564028,0.0017989252,-0.113996305,-0.40683544,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c007,7,human,Human_Aeschines_0026001__c007.txt
1.7326292,0.49394977,-0.22791679,-0.30701673,0.37535858,-1.0047015,-0.002814422,-0.038743943,-0.083574355,-0.30941907,-0.28635487,-1.0578737,-0.33059633,-0.66981643,-0.17633176,0.036598917,-0.15832056,-0.06989792,0.26259336,0.019584792,-0.10133166,-0.17910662,0.35503072,0.049092162,-0.28127113,0.36860365,0.10235862,0.45680192,0.33440563,0.37359017,0.3382991,0.40361562,0.090704255,0.037131596,0.09460959,0.2758123,0.35109448,0.03706863,-0.08765905,0.07098641,-0.022576308,-0.2341072,0.031366203,0.30504963,0.26051727,0.05454364,0.31139657,-0.14437065,-0.4450935,-0.13480406,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c008,8,human,Human_Aeschines_0026001__c008.txt
1.4124686,0.79891163,1.0859036,-0.31658414,0.27543327,-0.542042,-0.52715486,-0.29142216,-0.46159664,-0.26926854,0.1768832,-1.5314686,-0.62379116,-0.18488383,0.051132422,-0.012467523,0.16432337,0.050523084,-0.2564438,0.02626404,0.21804392,0.55941015,-0.090710066,0.56122404,-0.34163076,0.22741382,-0.017564578,0.16779219,0.048050147,0.09006426,0.57716966,-0.0350377,-0.020848073,-0.08978539,-0.2473722,0.10513661,0.044231873,0.19901535,-0.08036804,-0.097684935,0.05748271,-0.09025071,-0.16143769,-0.3516984,0.26180118,0.2478925,0.119088314,-0.14659159,-0.04575064,0.045791395,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c009,9,human,Human_Aeschines_0026001__c009.txt
