WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10,WE11,WE12,WE13,WE14,WE15,WE16,WE17,WE18,WE19,WE20,WE21,WE22,WE23,WE24,WE25,WE26,WE27,WE28,WE29,WE30,WE31,WE32,WE33,WE34,WE35,WE36,WE37,WE38,WE39,WE40,WE41,WE42,WE43,WE44,WE45,WE46,WE47,WE48,WE49,WE50,Category1,Category2,Category3,Category4,doc_id,chunk_id,chunk_index,model_version,text_file
0.12238485,2.231791,-0.54023194,1.4380772,1.2827872,-0.91431826,-0.51233983,-0.48613277,0.58611023,0.13418743,-0.24222091,0.6351453,0.38179153,0.519808,-0.9218348,-0.18485574,-0.12716089,-0.5339585,-0.38814706,-0.17068331,0.12111315,0.40587658,0.14934263,0.42148384,-0.44719484,0.36819112,0.05611692,-0.18825616,-0.3119011,-0.6566847,-0.1569374,0.7454828,0.2741581,-0.02878609,0.20801789,-0.3031732,-0.25949344,-0.14970796,-0.12999474,-0.028211715,-0.16760994,0.57897186,0.2524237,0.3391692,-0.40024146,0.088264346,0.19311084,0.057355702,-0.043653857,0.21594755,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c000,0,human,Human_Aeschines_0026001__c000.txt
0.8271974,0.3080999,-0.4637668,1.283215,0.76009774,-1.7855452,-0.926143,0.47868088,1.080047,-0.027175786,0.16200066,1.4375573,0.9719291,-0.050059985,-0.32608294,0.047404725,-0.6117788,-0.0050368714,0.041938085,-0.86622924,-0.2167387,0.11497839,-0.346792,0.014724607,-0.06616997,0.38755524,-0.27146003,0.05885462,-0.14991282,0.12695779,0.26345927,-0.02967028,0.102900386,0.07273766,-0.04754399,-0.42208138,-0.100331314,-0.6246144,-0.3371394,0.08330442,0.035976008,0.08372153,0.38811487,0.08232074,-0.069388956,-0.30760482,0.62840074,0.08173229,-0.034028545,0.07596529,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c001,1,human,Human_Aeschines_0026001__c001.txt
2.3251705,-0.19765794,-0.008869299,2.594579,1.2323083,-0.97643644,-0.01321713,0.13578728,-0.29354128,0.10352291,-0.3027866,0.75750715,0.6684689,0.8959331,1.2395293,0.36315772,0.040338594,0.5773302,-0.39392766,-0.09565358,-0.8643754,-0.18806727,-0.35358933,0.013452595,0.10555885,-0.15132152,0.1650398,-0.5666777,-0.19818997,0.03330366,0.041870594,0.014329398,-0.6133728,-0.95572853,0.013153093,0.7022894,0.6003456,-0.17270243,0.66607106,-0.23613735,-0.3627451,0.008509046,-0.012603823,-0.3263187,0.026878765,0.5279538,0.2738243,0.12749583,0.16874646,0.5822161,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c002,2,human,Human_Aeschines_0026001__c002.txt
-0.7883222,0.9063056,0.6421981,1.8663179,0.079622746,-1.3185688,-0.330384,0.32718152,1.2690489,-0.32599214,0.926051,0.5119773,0.94411653,-0.042059284,-0.79159707,-0.22989702,-0.028421802,0.28031707,-0.22106077,-0.002351124,-0.19290563,-0.185937,-0.08509931,0.58800036,-0.14563982,0.12559466,-0.40495887,-0.039862223,0.06155581,0.43725133,0.60174966,-0.20526376,-0.6481397,0.41806072,0.08355096,-0.03638416,-0.017428536,-0.35417098,0.28813,-0.09824847,-0.2960154,0.19565687,-0.047751505,0.02334843,-0.20035174,-0.43605903,0.21319586,0.2813569,0.4321027,-0.48948148,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c003,3,human,Human_Aeschines_0026001__c003.txt
-0.4359471,0.6734049,-0.07794114,1.9373683,-1.2447957,-1.132603,-0.35318786,0.701314,-0.5301629,0.39327508,0.7540118,0.25239342,0.40882042,0.06846436,0.51065737,0.47444916,0.30697617,0.1859005,0.16437608,0.3989969,-0.39164728,-0.021989591,0.2282003,-0.2159312,-0.31370825,0.78031605,-0.5708326,-0.36974862,0.3484291,-0.47485986,-0.4657527,-0.78135353,-0.3736471,-0.5820435,0.1892319,-0.06496346,-0.21271543,0.1394392,0.16753365,-0.654741,-0.4433996,0.3739191,0.55499214,0.26614767,-0.16866033,-0.3993748,0.27966335,-0.058685016,0.39167735,0.38858044,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c004,4,human,Human_Aeschines_0026001__c004.txt
0.3465665,1.9901156,-0.89849883,1.2075001,-0.069089815,-0.5822147,-0.23873733,-0.016410118,1.0386361,0.007491883,-0.06913651,0.09563117,0.8429268,0.12393754,-0.71957606,-0.114411816,-0.312977,0.09799222,-0.16651121,-0.35549346,0.46869212,0.039329257,-0.29497972,-0.03592832,-0.4995327,0.21434215,0.12672153,-0.1903955,-0.017380996,0.2617582,0.056258876,-0.038730524,-0.08447437,-0.08391451,0.16221645,-0.05391412,0.2274291,-0.33930382,-0.12458205,0.22777261,-0.26912284,0.3438576,0.14991578,0.3516294,-0.1103202,-0.41528,0.027175425,-0.036940504,-0.016401816,-0.054049578,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c005,5,human,Human_Aeschines_0026001__c005.txt
-0.9381465,-2.0264747,1.3647332,0.52803403,-1.9289752,-0.64702624,-0.9014763,-0.17742082,0.26333123,-0.5536429,0.13039187,-0.9343843,0.115699016,0.49565968,0.93976134,-0.104000665,-0.033086147,0.45552972,-0.7735127,0.0004861008,-0.32866046,0.1935232,0.3383022,0.20151156,0.02585011,0.69519645,-0.024840636,-0.6406231,-0.100096434,0.21218841,-0.3777972,0.07348294,0.22705936,-0.35635385,0.41992968,-0.17371061,0.13184784,0.36741954,-0.5772018,-0.2860926,-0.3285227,0.29687306,-0.1740905,-0.08399853,0.13401273,-0.3557944,-0.63672704,-0.20000483,0.29053536,0.09074284,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c006,6,human,Human_Aeschines_0026001__c006.txt
0.5184729,0.66682166,-0.68740404,1.1873592,-1.6993906,-0.32841134,0.48076585,-0.015255671,0.28840485,0.15734589,-0.1625165,-0.2904776,0.46855086,-0.5883819,-0.5974109,0.5537233,-0.6005291,-0.3314403,0.031527266,0.1511769,-0.07886619,-0.19321653,0.4036771,-0.114538655,-0.3190068,0.16624632,-0.004333243,-0.042542245,-0.093340084,-0.20041993,-0.14898826,0.30972105,0.5870317,0.07117144,-0.11637204,-0.24892603,0.16297688,0.11601539,-0.4196131,-0.19746913,-0.16706678,0.27630877,-0.1471172,0.0732899,0.29540658,0.22104797,0.12577029,0.009384413,0.07747428,-0.031173259,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c007,7,human,Human_Aeschines_0026001__c007.txt
0.3469012,-0.7744995,0.5255128,1.2072644,-1.9790397,-0.58497936,-0.46949345,0.18728033,-0.17421934,-0.74371487,0.49707392,-0.7464661,0.54408026,-0.023374286,0.7954435,0.18921885,-0.4363623,0.09146404,-0.5509785,0.6039529,0.23760077,-0.29031622,-0.15395397,-0.18606097,-0.3048861,0.6216838,-0.4001693,-0.13142247,-0.24784392,0.38347664,-0.21579458,0.44475004,-0.050066896,-0.079597145,-0.0155137535,-0.12051464,0.10536964,0.18968727,-0.28533494,0.16552204,-0.26243538,0.11569708,-0.36291757,-0.31627956,0.219645,-0.1514827,-0.36305952,-0.28338715,0.46248084,0.20782894,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c008,8,human,Human_Aeschines_0026001__c008.txt
-0.59822506,-2.0353334,1.8026614,0.26403776,-2.1488333,-0.5941911,-0.66236466,-0.092194185,0.16806489,-0.5712042,0.95872533,-1.0304209,0.6434579,-0.038503133,1.3162868,-0.58695203,-0.20600651,0.34162438,-0.4559579,0.06330478,0.013671899,0.28178626,-0.30405602,-0.07093044,-0.16566625,0.3831249,-0.6595138,-0.03937271,-0.15923555,0.39752653,-0.26679263,0.3068,-0.02602533,0.16096458,0.15888374,-0.34633374,0.3463565,0.22375071,-0.45404804,0.033694085,-0.29047146,0.039632432,-0.029088857,0.19156782,-0.040270355,-0.10810751,-0.10853441,0.20296308,-0.3294992,0.044346787,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c009,9,human,Human_Aeschines_0026001__c009.txt
0.56948626,-0.7239325,1.3952361,0.68471336,-1.7267532,-0.5047983,-0.15402958,0.04305938,0.52796936,-0.18577279,0.6989269,-0.5095529,0.16353878,-0.41294774,0.47354957,-0.21387625,-0.5242495,0.6030222,-0.20029004,0.4208709,0.028760495,0.3099388,0.33030185,-0.04800199,-0.20772286,0.5964307,-0.58637446,-0.08580468,0.19979487,0.47460946,0.065255225,0.13533127,0.22022271,0.059025608,-0.575706,-0.37059957,-0.044141643,-0.06682062,-0.03297825,0.23032562,-0.53004426,0.31588197,-0.0752252,0.15846752,0.103727214,0.08032422,-0.18363385,0.21753676,0.283809,-0.18841182,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c010,10,human,Human_Aeschines_0026001__c010.txt
1.6331612,1.5211682,-0.2306856,1.1720142,-0.88879156,0.15454768,-0.34153798,0.6038278,0.6263762,0.23968513,0.48457366,-0.3598744,0.42798555,-0.7413037,0.41372088,-0.41798455,-0.6017092,0.023693286,-0.017887734,0.5052279,-0.17928539,-0.15559159,-0.15526776,-0.10056192,0.06963,0.075708985,-0.5556467,0.25509962,-0.38604054,0.25980017,0.24704298,-0.1511012,-0.23667023,-0.35066855,-0.27300262,0.014641229,-0.30459696,0.1152153,-0.11740305,-0.09009159,-0.22016884,0.24147797,-0.17741825,-0.38429275,0.19258578,0.08766776,0.13425654,0.03764245,0.06359158,0.1732756,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c011,11,human,Human_Aeschines_0026001__c011.txt
2.254634,0.6003223,0.48267317,1.2580485,-0.6052212,-0.30135974,-0.0018631851,-0.46980706,0.964453,-0.21260005,0.3199865,0.11643762,0.72359025,-0.090291776,-0.26167193,-0.21575405,0.34000292,0.1857792,-0.40196237,1.0414926,-0.111678705,-0.1632862,-0.025714062,0.096626125,0.023478791,-0.45794535,-0.3085827,-0.46439713,0.08539696,0.031013688,0.1611703,-0.30421513,0.084511414,-0.005413613,-0.60584503,-0.0070589785,-0.1823899,-0.01080578,0.34989038,0.047074404,-0.2688436,0.025003465,-0.22182077,-0.4308983,0.18119933,0.3139264,-0.07521154,-0.19084388,0.17704771,0.47770944,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c012,12,human,Human_Aeschines_0026001__c012.txt
1.4684205,0.46526903,0.8578013,1.4816682,-0.39118907,0.16172968,-0.41487712,-0.6521062,0.34424964,-0.6842457,0.80867106,0.21654381,0.23383226,-0.42655256,-0.39295453,-0.26674825,-0.2256062,-0.32248577,-0.5375805,0.9293611,0.22387941,0.28725058,0.08645773,0.21270667,-0.17962436,-0.13055485,-0.1714616,-0.009235621,0.007528171,0.6516228,0.39889136,-0.24147277,-0.04408541,0.19345488,-0.3163626,0.08847445,0.054111563,-0.38426775,0.23276304,-0.14696753,-0.25057203,-0.18396112,-0.35015947,0.27089044,0.027802298,-0.097225934,0.021416375,-0.045349177,0.25506288,0.3217656,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c013,13,human,Human_Aeschines_0026001__c013.txt
2.1317167,0.8698569,-0.10415633,1.1902823,0.64241755,0.30753523,-0.32281855,-0.33831504,0.5754052,0.35778853,0.41364372,-0.15578707,0.1437549,-0.26969138,-0.82031024,0.8771168,0.03871268,-1.0323771,-0.65358305,0.02310086,-0.44644287,0.33310315,0.16668971,0.01798684,-0.3566299,0.10025333,-0.34381977,0.14067386,-0.27331322,0.22614524,-0.08047832,0.034352742,0.4465033,-0.20498222,-0.020703103,-0.013158031,-0.009687787,-0.5469473,0.047667775,0.22968009,0.048467003,-0.05167718,-0.3288074,-0.1351784,0.15529612,0.22948833,0.16643238,-0.041812588,0.29312167,-0.4504357,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c014,14,human,Human_Aeschines_0026001__c014.txt
1.3192015,-1.757069,1.1758595,-0.37886608,-1.2854095,-1.4546247,-0.11927983,0.34060907,-0.5561029,0.32353893,0.6900065,-1.0212941,1.0103399,-0.24514236,0.57618916,-0.10236539,-0.38650408,-0.24594563,0.052214224,0.22333531,0.21017659,0.104423754,0.4596745,0.046407327,0.031082204,0.6703344,-0.4750206,0.17468609,0.27066714,0.21655293,-0.23020001,-0.041196924,-0.14783251,0.6110834,0.45033526,-0.19242916,-0.036439154,-0.039144605,-0.16627768,-0.059630632,-0.318883,0.48548153,-0.1895256,0.23238213,-0.07421256,-0.13467367,-0.15641427,-0.7775074,-0.11785157,0.082912914,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c015,15,human,Human_Aeschines_0026001__c015.txt
3.7618854,-2.4589524,0.8518641,-0.9109371,0.3701807,-1.153946,-0.3785862,-0.23263136,-0.07065243,-0.3865359,-0.4268816,-0.48703074,0.14758837,0.34373036,-0.16816333,-0.4172744,-0.27354226,-0.06404733,-0.11755958,-0.30323422,-0.056515418,0.34430206,0.14079317,-0.23365337,0.24242187,0.14315693,-0.29678756,-0.23775755,-0.17869122,0.16643861,0.016118674,-0.1515045,-0.24782561,-0.033941716,0.0014264479,-0.11716506,0.114961736,0.14506029,0.2443408,0.4346116,0.099835426,0.51540685,0.1475761,-0.21606886,-0.4473858,-0.0028318553,-0.23523112,0.22319378,0.3270585,0.0902182,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c016,16,human,Human_Aeschines_0026001__c016.txt
0.24643387,-0.2214403,0.9440446,0.9776375,-0.090544455,-0.12135456,-0.87673324,1.2019889,-1.196228,-0.445671,0.55432236,-0.6392704,0.40039137,-0.050101526,-0.4753572,-0.25318137,-0.40226772,0.02754143,-0.15037756,0.4228624,0.42306936,-0.3967377,0.09645534,0.31762606,0.21693572,0.07670322,0.08084543,-0.18405937,-0.29507127,0.22782397,-0.091771536,0.37029156,0.2971543,0.29676282,0.7119681,-0.11955732,0.48260117,-0.14968488,0.1920384,-0.10775861,0.08398489,0.12114998,-0.18153508,-0.31249747,0.027657375,-0.059741445,-0.056183446,0.012173752,0.067418896,-0.23038799,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c017,17,human,Human_Aeschines_0026001__c017.txt
3.4070954,-0.32543963,0.90649235,1.0596925,0.94424844,-0.5874952,0.056466676,-0.9027261,-0.39968237,-0.032498203,0.51387167,0.039919537,0.15941654,-0.26267576,-0.38210714,0.46218023,-0.62874657,0.20823261,0.1779845,0.1817632,0.09080108,0.21346836,-0.044612244,0.32091898,-0.4140825,-0.3001432,-0.17824526,0.020705773,0.0961725,-0.09808075,-0.14674348,0.18557185,0.009949945,-0.24059987,0.13454428,0.06255016,0.4487505,-0.104954414,0.09612197,0.16943704,-0.14555366,-0.0025000614,0.16447821,-0.08526008,-0.038484275,-0.032336205,-0.30626532,-0.06837295,0.035831112,0.056932658,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c018,18,human,Human_Aeschines_0026001__c018.txt
-0.6159927,1.1559336,0.0643612,1.2542918,-1.1142023,-0.7136661,-0.1803203,-0.7440567,0.6616252,0.27198982,-0.06471782,0.646757,0.50927985,0.24140382,-0.48003805,0.21551669,-0.5801747,-0.19135976,0.5859813,0.07013919,0.36472282,-0.41076842,-0.19611992,-0.10109347,-0.099297844,0.3502725,0.20851596,0.20575236,-0.18616809,0.25934702,0.19233619,-0.39135793,0.16727673,-0.004578228,0.121873125,-0.15587409,-0.24537492,0.5198751,-0.365487,0.056507118,0.1469514,0.21951349,0.0119376555,0.08619152,-0.05000019,0.004910654,-0.065511644,-0.4844122,0.2272164,0.025300035,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c019,19,human,Human_Aeschines_0026001__c019.txt
-2.1671112,-0.8672389,0.09417137,1.8509818,-1.3787326,-1.5657079,0.5228758,0.3322018,-0.21662371,0.5124357,0.3748917,-0.57583845,-0.14229378,0.3345764,0.08119011,0.35824847,-0.22741355,-0.60993135,-0.19883074,0.81580955,-0.017083906,-0.026898792,0.3341968,-0.094523236,0.16063303,0.37244013,0.16328618,-0.38293576,0.030024312,-0.15380782,-0.39658058,-0.2335799,0.11182381,0.6982621,0.3702757,-0.4006003,0.20560548,0.18070523,-0.015935019,0.20901576,-0.63613063,0.13724054,0.07663748,-0.21900791,0.2103317,-0.12068422,0.16409285,0.18313701,0.4522426,0.25365418,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c020,20,human,Human_Aeschines_0026001__c020.txt
-2.4913454,-0.7937005,-0.27385613,1.953213,-0.9299284,-1.0451708,0.06829322,0.14727359,0.30145973,-0.71999043,0.562025,-0.5768932,-0.29616997,-0.9814736,-0.074635096,0.20139359,-0.4968146,0.33505753,0.54545313,0.5697735,-0.39466664,-0.4515674,0.011103952,-0.28789082,0.0556788,0.088303715,0.07771628,0.16050968,0.36405835,0.13384965,0.25933814,-0.103811085,0.062028248,0.24983124,-0.1605278,-0.09153434,0.005909856,0.24877186,0.2689714,0.3683517,0.089541316,-0.049471375,0.034781035,0.08876989,-0.00021014061,0.31492358,0.3890093,-0.055304527,0.35431364,-0.15097131,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c021,21,human,Human_Aeschines_0026001__c021.txt
-1.7903287,-0.9864563,-0.29608387,1.1313839,-1.0411938,-0.3082686,-0.8040805,-0.7312505,0.62689114,0.22850661,-0.33051437,-0.37532583,-0.1730183,0.5696705,0.42783755,-0.04652153,-0.1285692,-0.15420674,0.3279151,-0.26687568,-0.49888286,-0.5583429,-0.032672793,0.50157857,-0.5084209,0.40016207,0.7326389,0.41304225,0.08140855,0.17722088,0.33507335,-0.15944804,-0.34166157,-1.0123515,0.05056489,-0.28016174,0.15381946,0.20312054,-0.22093463,-0.9822304,-0.25347134,0.24176453,0.45112976,0.57145876,-0.48953477,-0.7245368,-0.47648397,0.11124454,0.6672359,0.10748672,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c022,22,human,Human_Aeschines_0026001__c022.txt
-2.3970628,-2.6415565,-0.13033992,1.7315165,-0.84400433,0.27343372,-0.31549194,-0.1977809,0.48011583,-1.0101845,-0.18567696,-0.87880874,0.028199814,-0.7692538,0.6468938,0.41144735,-0.4709964,0.0152193485,-0.06625653,-0.023451438,0.031110274,0.52440226,0.041469626,0.14187455,0.6070522,-0.25354004,0.1766985,-0.68114245,0.2627705,0.024810834,0.2166621,0.05033383,-0.3944891,-0.16335592,0.023746956,-0.5450905,-0.4174996,0.29528493,0.469356,0.17783082,0.0026062774,-0.28953868,0.66946685,-0.21103814,0.11694247,-0.31875822,-0.29282492,-0.20646602,0.10363922,-0.24182715,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c023,23,human,Human_Aeschines_0026001__c023.txt
1.3850002,0.49618286,0.4846083,0.41294968,-0.7456456,-1.2031705,-0.63762224,-0.057842355,0.6487764,-0.76541847,0.80670327,-0.4606114,0.17892104,-0.6893938,-0.071117714,0.35163516,-0.27496248,0.21191925,0.165953,0.07360996,0.014920916,0.30811623,0.26855573,-0.12040449,0.20036297,-0.290499,-0.31386977,-0.7702907,-0.42854568,-0.18316527,-0.34541956,-0.0072781174,-0.4232167,0.0036940202,-0.34705177,-0.3136035,-0.3702325,-0.07329264,-0.043291647,0.051539376,-0.44303992,0.09685144,0.55698097,0.02909671,0.08717058,-0.17012472,-0.24941283,-0.07660647,0.013413444,0.28142172,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c024,24,human,Human_Aeschines_0026001__c024.txt
