path,Category1,Category2,Category3,Category4,doc_id,chunk_id,chunk_index,author,model_version,text_file
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c000.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c000,0,Aeschines,human,Human_Aeschines_0026001__c000.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c001.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c001,1,Aeschines,human,Human_Aeschines_0026001__c001.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c002.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c002,2,Aeschines,human,Human_Aeschines_0026001__c002.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c003.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c003,3,Aeschines,human,Human_Aeschines_0026001__c003.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c004.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c004,4,Aeschines,human,Human_Aeschines_0026001__c004.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c005.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c005,5,Aeschines,human,Human_Aeschines_0026001__c005.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c006.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c006,6,Aeschines,human,Human_Aeschines_0026001__c006.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c007.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c007,7,Aeschines,human,Human_Aeschines_0026001__c007.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c008.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c008,8,Aeschines,human,Human_Aeschines_0026001__c008.txt
C:\Users\USER01\Dropbox\Workplace\D\George\PAPERS\Paroysiaseis\Cyprus 2025\ag-llm-stylometry\data\chunks\size_400\Human_Aeschines_0026001__c009.txt,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c009,9,Aeschines,human,Human_Aeschines_0026001__c009.txt
