Category1,Category2,Category3,Category4,doc_id,chunk_id,chunk_index,model_version,text_file,n_tokens,n_types,hapax_legomena,L_TTR,L_Root_TTR,L_Log_TTR,L_MTLD,text_entropy,avg_word_length,n_sentences,avg_sentence_length,dep_distance_mean,dep_distance_std,case_entropy,mood_entropy,pos_ADJ,pos_ADP,pos_ADV,pos_AUX,pos_CCONJ,pos_DET,pos_INTJ,pos_NOUN,pos_NUM,pos_PART,pos_PRON,pos_PROPN,pos_PUNCT,pos_SCONJ,pos_VERB,pos_X,case_Nom,case_Gen,case_Dat,case_Acc,case_Voc,tense_Pres,tense_Past,tense_Fut,aspect_Imp,aspect_Perf,aspect_Aor,mood_Ind,mood_Sub,mood_Imp,mood_Opt,gender_Masc,gender_Fem,gender_Neut,dep_rel_nsubj,dep_rel_obj,dep_rel_iobj,dep_rel_obl,dep_rel_advmod,dep_rel_amod,dep_rel_nmod,dep_rel_det,dep_rel_case,dep_rel_cc,dep_rel_conj,dep_rel_mark,dep_rel_advcl,dep_rel_acl,dep_rel_ccomp,dep_rel_xcomp,dep_rel_cop,dep_rel_aux,dep_rel_root,dep_rel_punct,dep_rel_appos,dep_rel_parataxis,dep_rel_fixed,dep_rel_flat,noun_verb_ratio,lexical_density
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c000,0,human,Human_Aeschines_0026001__c000.txt,400,252,194,0.63,12.6,0.9228843872873156,156.5662611861665,7.526925376313032,5.2175,25,16.0,2.917333333333333,2.845552006592433,2.1293145351230915,0.6450499982850293,0.0825,0.04,0.1325,0.015,0.075,0.175,0.0125,0.165,0.015,0.0,0.075,0.0,0.0,0.0175,0.195,0.0,0.2608695652173913,0.1826086956521739,0.20434782608695654,0.3130434782608696,0.0391304347826087,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.07142857142857142,0.9285714285714286,0.0,0.8717948717948718,0.10256410256410256,0.02564102564102564,0.0,0.6695652173913044,0.22608695652173913,0.1,0.0675,0.06,0.0,0.09,0.065,0.0275,0.0325,0.175,0.04,0.0725,0.065,0.0175,0.0575,0.01,0.015,0.02,0.015,0.0,0.0625,0.0,0.0025,0.0,0.0,0.0,0.8461538461538461,0.575
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c001,1,human,Human_Aeschines_0026001__c001.txt,400,232,170,0.58,11.6,0.909082800847982,146.51478003654734,7.333666770043499,5.21,17,23.58823529411765,2.6875,2.994134891750871,1.8827587356098692,0.7380636700495734,0.07481296758104738,0.08977556109725686,0.11970074812967581,0.014962593516209476,0.04488778054862843,0.20448877805486285,0.004987531172069825,0.1970074812967581,0.014962593516209476,0.0,0.0798004987531172,0.0,0.0,0.00997506234413965,0.14463840399002495,0.0,0.1297071129707113,0.26778242677824265,0.13807531380753138,0.45188284518828453,0.012552301255230125,0.578125,0.328125,0.09375,0.047619047619047616,0.9523809523809523,0.0,0.84375,0.125,0.03125,0.0,0.6401673640167364,0.19665271966527198,0.15481171548117154,0.05236907730673317,0.04987531172069826,0.0,0.09476309226932668,0.08977556109725686,0.02743142144638404,0.0399002493765586,0.2144638403990025,0.08977556109725686,0.04488778054862843,0.05236907730673317,0.00997506234413965,0.04488778054862843,0.022443890274314215,0.017456359102244388,0.0199501246882793,0.00997506234413965,0.0,0.04239401496259352,0.0,0.0,0.0,0.0,0.0,1.3620689655172413,0.5361596009975063
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c002,2,human,Human_Aeschines_0026001__c002.txt,400,248,191,0.62,12.4,0.9202138647096323,114.1414977244518,7.535503078296308,5.095,21,19.047619047619047,2.865435356200528,2.855415261292613,2.0108176252455174,1.3982088441853116,0.075,0.0275,0.125,0.01,0.09,0.16,0.01,0.16,0.0075,0.0,0.0775,0.0,0.0,0.035,0.2225,0.0,0.1778846153846154,0.22596153846153846,0.14903846153846154,0.4182692307692308,0.028846153846153848,0.5268817204301075,0.46236559139784944,0.010752688172043012,0.0,1.0,0.0,0.5818181818181818,0.21818181818181817,0.2,0.0,0.6298076923076923,0.14423076923076922,0.21634615384615385,0.0425,0.0975,0.0,0.0575,0.07,0.02,0.035,0.165,0.0275,0.0925,0.1075,0.04,0.045,0.005,0.0125,0.03,0.01,0.0,0.0525,0.0,0.0075,0.0025,0.0,0.0,0.7191011235955056,0.5825
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c003,3,human,Human_Aeschines_0026001__c003.txt,400,256,196,0.64,12.8,0.9255128526390367,187.7149877149877,7.567505178516532,5.265,25,16.0,2.784,3.1153401098435465,1.991801604773182,0.9682127699741065,0.0925,0.0525,0.1075,0.0125,0.06,0.17,0.0075,0.17,0.0075,0.0,0.085,0.0,0.0,0.03,0.205,0.0,0.242152466367713,0.23318385650224216,0.11210762331838565,0.3901345291479821,0.02242152466367713,0.6206896551724138,0.3448275862068966,0.034482758620689655,0.1724137931034483,0.8275862068965517,0.0,0.78,0.14,0.08,0.0,0.5964125560538116,0.18834080717488788,0.2062780269058296,0.0675,0.0825,0.0,0.085,0.0675,0.025,0.035,0.1725,0.0525,0.0625,0.0575,0.0325,0.06,0.005,0.02,0.035,0.0125,0.0,0.0625,0.0,0.0,0.0,0.005,0.0,0.8292682926829268,0.575
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c004,4,human,Human_Aeschines_0026001__c004.txt,400,251,186,0.6275,12.55,0.922220751819163,209.7487877176415,7.586318463107342,4.945,20,20.05,2.8451443569553807,3.040351339113674,1.957462884199456,0.7804828278806267,0.06982543640897755,0.04738154613466334,0.17206982543640897,0.014962593516209476,0.07481296758104738,0.12468827930174564,0.0024937655860349127,0.1371571072319202,0.0,0.0,0.09226932668329177,0.0,0.0,0.02743142144638404,0.23690773067331672,0.0,0.22727272727272727,0.18181818181818182,0.16666666666666666,0.41414141414141414,0.010101010101010102,0.6138613861386139,0.3465346534653465,0.039603960396039604,0.17142857142857143,0.8285714285714286,0.0,0.8163265306122449,0.16326530612244897,0.02040816326530612,0.0,0.5353535353535354,0.23737373737373738,0.2222222222222222,0.04239401496259352,0.08229426433915212,0.0,0.09226932668329177,0.14214463840399003,0.012468827930174564,0.014962593516209476,0.13216957605985039,0.04738154613466334,0.0773067331670823,0.07481296758104738,0.02743142144638404,0.06483790523690773,0.004987531172069825,0.022443890274314215,0.03740648379052369,0.012468827930174564,0.0,0.04987531172069826,0.0,0.0024937655860349127,0.0,0.0,0.0,0.5789473684210527,0.6159600997506235
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c005,5,human,Human_Aeschines_0026001__c005.txt,400,261,203,0.6525,13.05,0.9287412724504279,229.43041672027817,7.664100147029204,5.1975,24,16.708333333333332,2.6578249336870026,2.5652541698804794,2.071390302478324,0.9780155566622414,0.05486284289276808,0.05486284289276808,0.15211970074812967,0.02743142144638404,0.04488778054862843,0.14463840399002495,0.00997506234413965,0.14713216957605985,0.012468827930174564,0.0,0.10972568578553615,0.0,0.0,0.03740648379052369,0.20448877805486285,0.0,0.22058823529411764,0.18137254901960784,0.16666666666666666,0.39215686274509803,0.0392156862745098,0.6021505376344086,0.3333333333333333,0.06451612903225806,0.03225806451612903,0.967741935483871,0.0,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.0,0.6108374384236454,0.1330049261083744,0.2315270935960591,0.06234413965087282,0.07481296758104738,0.0,0.09476309226932668,0.0773067331670823,0.02493765586034913,0.014962593516209476,0.14962593516209477,0.05486284289276808,0.04987531172069826,0.034912718204488775,0.04488778054862843,0.08229426433915212,0.007481296758104738,0.0199501246882793,0.032418952618453865,0.02493765586034913,0.0,0.059850374064837904,0.0,0.0,0.0,0.0,0.0,0.7195121951219512,0.5586034912718204
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c006,6,human,Human_Aeschines_0026001__c006.txt,400,260,204,0.65,13.0,0.9281005649444444,218.85349545774795,7.58010845343173,5.2125,13,30.76923076923077,2.9147286821705425,3.5226054951115735,1.9952338665111558,0.37764632137370024,0.115,0.0575,0.0975,0.02,0.08,0.15,0.0025,0.1625,0.015,0.0,0.115,0.0,0.0,0.015,0.17,0.0,0.24180327868852458,0.22540983606557377,0.1885245901639344,0.3401639344262295,0.004098360655737705,0.3815789473684211,0.5789473684210527,0.039473684210526314,0.20454545454545456,0.7954545454545454,0.0,0.926829268292683,0.07317073170731707,0.0,0.0,0.654320987654321,0.1522633744855967,0.18930041152263374,0.0675,0.0975,0.0,0.1,0.045,0.0275,0.025,0.1625,0.0575,0.0825,0.0925,0.015,0.08,0.0125,0.005,0.015,0.02,0.0,0.0325,0.0,0.0,0.0025,0.0,0.0,0.9558823529411765,0.545
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c007,7,human,Human_Aeschines_0026001__c007.txt,400,269,213,0.6725,13.45,0.9337802695173,239.9221289105845,7.736066571821332,5.195,26,15.384615384615385,2.700534759358289,2.577390325601269,1.8446057421619737,0.5185697317883058,0.1,0.0425,0.1775,0.0275,0.0375,0.1425,0.0025,0.1375,0.0125,0.0,0.095,0.0,0.0,0.0325,0.1925,0.0,0.24074074074074073,0.18981481481481483,0.125,0.4444444444444444,0.0,0.5909090909090909,0.3409090909090909,0.06818181818181818,0.03333333333333333,0.9666666666666667,0.0,0.8837209302325582,0.11627906976744186,0.0,0.0,0.5674418604651162,0.15348837209302327,0.26976744186046514,0.06,0.085,0.0,0.075,0.0825,0.03,0.0225,0.1575,0.0425,0.0425,0.04,0.0325,0.0675,0.0125,0.0225,0.03,0.025,0.0,0.065,0.0,0.0,0.0,0.0025,0.0,0.7142857142857143,0.6075
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c008,8,human,Human_Aeschines_0026001__c008.txt,400,256,197,0.64,12.8,0.9255128526390367,215.53631703314602,7.584371441544209,5.11,24,16.666666666666668,2.9388297872340425,3.3276697349112996,1.9493092059258768,0.9306635459878961,0.075,0.055,0.1425,0.015,0.0725,0.135,0.005,0.1425,0.005,0.0,0.135,0.0,0.0,0.0325,0.185,0.0,0.24537037037037038,0.1712962962962963,0.18518518518518517,0.39351851851851855,0.004629629629629629,0.45,0.475,0.0625,0.07894736842105263,0.9210526315789473,0.0,0.82,0.08,0.08,0.02,0.6342592592592593,0.2175925925925926,0.1388888888888889,0.05,0.1075,0.0,0.1,0.085,0.025,0.015,0.14,0.055,0.0775,0.0675,0.0325,0.055,0.0075,0.005,0.0225,0.015,0.0,0.06,0.0,0.0075,0.0,0.0025,0.0,0.7702702702702703,0.545
Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c009,9,human,Human_Aeschines_0026001__c009.txt,400,265,211,0.6625,13.25,0.9312797867892751,227.9092702169625,7.598767916941678,5.07,15,26.666666666666668,3.1194805194805193,3.934695452200661,1.846161428001792,0.3138129641688651,0.0675,0.0575,0.1375,0.015,0.0725,0.155,0.005,0.17,0.01,0.0,0.0925,0.005,0.0,0.02,0.1925,0.0,0.2876712328767123,0.1735159817351598,0.1187214611872146,0.4200913242009132,0.0,0.3253012048192771,0.6385542168674698,0.012048192771084338,0.29411764705882354,0.7058823529411765,0.0,0.9433962264150944,0.05660377358490566,0.0,0.0,0.6330275229357798,0.1926605504587156,0.1743119266055046,0.065,0.065,0.0,0.095,0.105,0.0225,0.0275,0.165,0.0575,0.0725,0.075,0.03,0.0775,0.0125,0.01,0.0225,0.015,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.8831168831168831,0.5675
