author,system,prompt,JS
Aeschines,GPT5,Restricted,9.95176210644654e-05
Andocides,GPT5,Restricted,0.0001008851727302921
Antiphon,GPT5,Restricted,0.00011111486969704936
Demosthenes,GPT5,Restricted,8.711515278286626e-05
Dinarchus,GPT5,Restricted,0.0002565456609343923
Hyperides,GPT5,Restricted,0.0003732209144324257
Isaeus,GPT5,Restricted,3.985301508273461e-05
Isocrates,GPT5,Restricted,2.2850784556794134e-05
Lycurgus,GPT5,Restricted,7.422822990128245e-05
Lysias,GPT5,Restricted,0.0005292397459555533
Aeschines,GPT5,Free,0.0002343129170898333
Andocides,GPT5,Free,0.0005841798818966733
Antiphon,GPT5,Free,0.00024707067458605445
Demosthenes,GPT5,Free,0.00021163961917096625
Dinarchus,GPT5,Free,0.0002690663429168447
Hyperides,GPT5,Free,0.0006913967782223618
Isaeus,GPT5,Free,0.00021889780827721427
Isocrates,GPT5,Free,2.8660498059124013e-05
Lycurgus,GPT5,Free,0.0008974720444761075
Lysias,GPT5,Free,0.0010583077134960484
Aeschines,Claude48,Restricted,1.9236055206530052e-05
Andocides,Claude48,Restricted,5.818859652113005e-05
Antiphon,Claude48,Restricted,5.699048637926199e-05
Demosthenes,Claude48,Restricted,3.717273314668456e-06
Dinarchus,Claude48,Restricted,1.2039901762733332e-05
Hyperides,Claude48,Restricted,0.0002333262786929969
Isaeus,Claude48,Restricted,3.4421850110292024e-05
Isocrates,Claude48,Restricted,3.7199555018287648e-06
Lycurgus,Claude48,Restricted,2.5362018690691046e-05
Lysias,Claude48,Restricted,0.0001352536306413344
Aeschines,Claude48,Free,4.372082087341712e-05
Andocides,Claude48,Free,0.0001642315797215112
Antiphon,Claude48,Free,0.00016357243845149894
Demosthenes,Claude48,Free,0.00012627931169696118
Dinarchus,Claude48,Free,0.00042775986635502005
Hyperides,Claude48,Free,0.0004683088187184674
Isaeus,Claude48,Free,5.5851292903244625e-05
Isocrates,Claude48,Free,6.860184987082514e-05
Lycurgus,Claude48,Free,0.0003104098638994951
Lysias,Claude48,Free,0.00013229798097874826
