author,system,prompt,JS
Aeschines,GPT5,Restricted,9.591258238479872e-06
Andocides,GPT5,Restricted,1.1189942229897118e-06
Antiphon,GPT5,Restricted,2.055855473360546e-05
Demosthenes,GPT5,Restricted,2.2397118462771235e-05
Dinarchus,GPT5,Restricted,5.9454277887786125e-06
Hyperides,GPT5,Restricted,1.8781628796519978e-05
Isaeus,GPT5,Restricted,4.241219711430447e-06
Isocrates,GPT5,Restricted,4.635041108401606e-06
Lycurgus,GPT5,Restricted,1.1889861196608256e-06
Lysias,GPT5,Restricted,4.034045007399192e-05
Aeschines,GPT5,Free,0.00010083808073559455
Andocides,GPT5,Free,0.00013190437615495795
Antiphon,GPT5,Free,0.00034871139102634604
Demosthenes,GPT5,Free,0.00024987743304378927
Dinarchus,GPT5,Free,0.00029313331088625565
Hyperides,GPT5,Free,0.00023281050597098
Isaeus,GPT5,Free,0.00018108710026166973
Isocrates,GPT5,Free,0.00034081376783034876
Lycurgus,GPT5,Free,0.0003468414268519159
Lysias,GPT5,Free,0.0003250689498301177
Aeschines,Claude48,Restricted,4.745869177767123e-06
Andocides,Claude48,Restricted,8.818258029694842e-07
Antiphon,Claude48,Restricted,1.726642890361335e-06
Demosthenes,Claude48,Restricted,1.1860658061355367e-06
Dinarchus,Claude48,Restricted,6.60478744008748e-06
Hyperides,Claude48,Restricted,1.58283079331198e-06
Isaeus,Claude48,Restricted,3.4303254776370555e-07
Isocrates,Claude48,Restricted,1.6834431635455777e-07
Lycurgus,Claude48,Restricted,1.2787867477413601e-06
Lysias,Claude48,Restricted,7.590898169851272e-06
Aeschines,Claude48,Free,7.617034287073583e-06
Andocides,Claude48,Free,4.180527714988281e-05
Antiphon,Claude48,Free,8.401532731932655e-05
Demosthenes,Claude48,Free,5.074751280538991e-05
Dinarchus,Claude48,Free,6.698952560432828e-05
Hyperides,Claude48,Free,2.60059020439753e-05
Isaeus,Claude48,Free,3.84802023880406e-05
Isocrates,Claude48,Free,3.54621092201116e-05
Lycurgus,Claude48,Free,1.835974354267626e-05
Lysias,Claude48,Free,6.362947627179081e-05
