feature,cohens_d_HminusL,welch_p,mean_human,mean_llm,abs_d
dep_rel_root,-0.33163920176111783,7.860781902150037e-28,0.04897931381268048,0.05266732730918596,0.33163920176111783
dep_distance_mean,-0.3296351835740318,2.622263266467436e-27,2.9049879970777206,2.96686051858718,0.3296351835740318
lexical_density,-0.32889423269678814,7.668122232216917e-28,0.5662419017103648,0.5756248728668047,0.32889423269678814
avg_sentence_length,0.32132328643427777,1.8892363607321001e-22,21.48849357218295,19.940290294125667,0.32132328643427777
L_TTR,-0.29240413508753116,5.519946947789697e-19,0.6492088951708521,0.6604819987317295,0.29240413508753116
pos_ADV,-0.28704161833686,1.577797442130014e-20,0.1361921487113674,0.14410411835574338,0.28704161833686
pos_AUX,0.2735194053703904,2.6764844413850524e-17,0.019334203820875147,0.017085354887717886,0.2735194053703904
dep_rel_cop,0.2708296769202037,9.242982827888954e-17,0.017091772252834283,0.015032080358521625,0.2708296769202037
L_Log_TTR,-0.26867224329266437,4.806459428208373e-15,0.9274809679480572,0.9301698235317586,0.26867224329266437
n_tokens,0.2464695569163783,1.0213197362235832e-17,399.4924357034796,389.99791981845686,0.2464695569163783
L_MTLD,-0.2314966380911397,7.16459431921897e-14,208.4936716244123,220.65156182842125,0.2314966380911397
n_sentences,-0.197042685215223,1.1248500377895289e-10,19.58093797276853,20.50964447806354,0.197042685215223
dep_rel_nmod,0.17616587805635314,3.128351066429517e-08,0.026276332687146416,0.024349587477259692,0.17616587805635314
pos_NUM,0.1725758541190721,1.4841080680338856e-08,0.012704215030582439,0.01104498922683928,0.1725758541190721
case_Gen,0.16928690104855773,5.041925209045546e-08,0.24348136413235513,0.23443158480319148,0.16928690104855773
dep_rel_det,0.16864826975754366,1.1593195637789481e-07,0.15522439567567592,0.1503512569697998,0.16864826975754366
pos_DET,0.1601466579066726,4.325941141765833e-07,0.14881320013623633,0.1442565988084222,0.1601466579066726
pos_SCONJ,-0.1564542254828552,2.9183442032744926e-07,0.023701610081196273,0.025204122494706244,0.1564542254828552
gender_Masc,0.15446658474965508,4.1146118003903355e-07,0.5654847113998444,0.5544724515820979,0.15446658474965508
dep_rel_mark,-0.15006154384382503,9.583470560091099e-07,0.02687036138774364,0.028405131672709975,0.15006154384382503
dep_rel_acl,0.1453247463172947,2.923415757117015e-06,0.013497021401706366,0.012562694495800013,0.1453247463172947
dep_rel_obl,0.13872741361894972,7.126234819411259e-06,0.09262976839846358,0.09053691851131455,0.13872741361894972
gender_Neut,-0.12442237015722973,4.875616509439423e-05,0.20124448578906326,0.20844710108492454,0.12442237015722973
case_Acc,-0.11713563785496928,0.0001794596417918495,0.4028105023166456,0.41024351403948944,0.11713563785496928
dep_rel_advmod,-0.09767823005030005,0.0017821873015985905,0.08215477974266495,0.0842360230043561,0.09767823005030005
pos_PRON,0.08342470766618175,0.007443151899520337,0.1105717015670506,0.10832485979517555,0.08342470766618175
n_types,0.08149170942541423,0.007844829088976065,258.97957639939483,256.97409228441757,0.08149170942541423
dep_rel_conj,0.08032077512199233,0.010350368518228646,0.0616883591362713,0.06032810162838976,0.08032077512199233
mood_Opt,-0.07659361910569883,0.014041573804892397,0.024676623973517862,0.02715423468232019,0.07659361910569883
avg_word_length,-0.07651672755192938,0.01721693752892251,5.21194237676336,5.227533978326824,0.07651672755192938
case_Nom,-0.07590819889279873,0.01458703820370522,0.19782992512722472,0.20212941767366974,0.07590819889279873
case_entropy,0.07370859679161808,0.021526219709042872,1.9199171549539342,1.9126192207755786,0.07370859679161808
case_Voc,0.0689107865027563,0.03465454065305132,0.012400361172817589,0.011531879910285798,0.0689107865027563
L_Root_TTR,-0.06888413351578478,0.0358180301334316,12.953219284856706,13.009012604404498,0.06888413351578478
dep_rel_appos,0.06394212764897798,0.04719968163499325,0.002332251224745096,0.002131726260603915,0.06394212764897798
mood_entropy,-0.058029890593821985,0.06103803122473872,0.7613226943250511,0.7781100915593028,0.058029890593821985
gender_Fem,-0.05770914272347786,0.06193281352349314,0.22568412485415165,0.22982332915886242,0.05770914272347786
pos_ADJ,-0.0539477926232759,0.08014905497274485,0.07939816055604486,0.08044310685665707,0.0539477926232759
case_Dat,0.04687574602637806,0.1318657887368134,0.14347784725095664,0.14166360357336347,0.04687574602637806
aspect_Perf,0.04682458483471294,0.12305978821091805,0.8671603168560947,0.8625774157427903,0.04682458483471294
aspect_Imp,-0.046824584834710956,0.12305978821093401,0.13283968314390524,0.13742258425720943,0.046824584834710956
mood_Ind,0.04393113645632996,0.15444179530186405,0.835738790740228,0.8320600600999588,0.04393113645632996
tense_Fut,-0.040110335889260426,0.17931058131708005,0.04534298944562376,0.0466428418201578,0.040110335889260426
dep_rel_obj,-0.035493010932413936,0.2554832028681378,0.09145726318516288,0.09209007632116421,0.035493010932413936
pos_VERB,-0.035183696915294424,0.2575065375443255,0.20391451542634934,0.20480200975366222,0.035183696915294424
dep_distance_std,0.03121678360808517,0.3227835244410575,3.1751136176584316,3.1599024794592623,0.03121678360808517
dep_rel_fixed,0.0306972268511602,0.3280295058422904,0.0005227890994177925,0.00048425335780265667,0.0306972268511602
pos_PROPN,0.030657724122588915,0.32282145809592666,0.0007675756423291413,0.0007166452983765672,0.030657724122588915
hapax_legomena,-0.029326014780474315,0.3686023543760165,202.08320726172465,202.8086232980333,0.029326014780474315
mood_Sub,-0.02749431707210746,0.36874847105154884,0.10284667535187084,0.10469028250024426,0.02749431707210746
noun_verb_ratio,0.027487356109795462,0.37944771085387174,0.7447695432454347,0.738092769960327,0.027487356109795462
dep_rel_parataxis,0.0249375405966956,0.41367194628174053,0.0011290443253309278,0.001084719285808666,0.0249375405966956
dep_rel_xcomp,-0.024625090718840198,0.4275450474183098,0.02931994266283507,0.029575384085501664,0.024625090718840198
dep_rel_aux,0.02366193120523007,0.44676238547155633,0.00023955358781213324,0.00022109182443622868,0.02366193120523007
dep_rel_flat,-0.021740631508639353,0.15738435744142756,0.0,9.602392046520803e-07,0.021740631508639353
dep_rel_amod,-0.02167840597726777,0.4737441515140992,0.02079544231169758,0.02100218941064287,0.02167840597726777
pos_ADP,0.020656100805580415,0.5059573644046884,0.05342009467088859,0.0531471186250425,0.020656100805580415
dep_rel_case,0.01815896850160913,0.5586030567310516,0.05333115342308956,0.053091535720149706,0.01815896850160913
tense_Pres,0.017907300278831504,0.5530133686342267,0.4878030283177538,0.4857590154459076,0.017907300278831504
dep_rel_advcl,0.017153273466778054,0.5792978619123269,0.06901677317456549,0.06875239730307885,0.017153273466778054
mood_Imp,0.016020942414116918,0.6010658382720613,0.03673790993438318,0.03609542271747681,0.016020942414116918
pos_NOUN,0.015293742691306412,0.6217813800305882,0.14673707701660318,0.14627563790074197,0.015293742691306412
dep_rel_cc,-0.014917828399653827,0.6328063369655255,0.06173858559380985,0.0619820770814836,0.014917828399653827
pos_CCONJ,-0.011203950772605567,0.7203764601853199,0.060225078976275784,0.06040539296804611,0.011203950772605567
pos_INTJ,0.007421195514738671,0.8130385028139968,0.004220418364200892,0.0041900450288685906,0.007421195514738671
dep_rel_ccomp,-0.007238895360212705,0.8161035805224454,0.017221724777330666,0.01728127519842564,0.007238895360212705
dep_rel_nsubj,-0.006763470222639868,0.8267331509501161,0.05718211113887576,0.05728384587146438,0.006763470222639868
tense_Past,-0.004591619345712838,0.8786238743719446,0.46394506176032557,0.46448628371624123,0.004591619345712838
text_entropy,0.00014626078668389435,0.9962850674420911,7.590169165962393,7.5901460554954,0.00014626078668389435
chunk_index,0.0,1.0,10.013615733736762,10.013615733736762,0.0
pos_PART,,,0.0,0.0,
pos_PUNCT,,,0.0,0.0,
pos_X,,,0.0,0.0,
aspect_Aor,,,0.0,0.0,
dep_rel_iobj,,,0.0,0.0,
dep_rel_punct,,,0.0,0.0,
