feature,cohens_d_HminusL,abs_d
lexical_density,-0.6290304214787403,0.6290304214787403
L_TTR,-0.6186763132021093,0.6186763132021093
L_Log_TTR,-0.5685228764982635,0.5685228764982635
dep_distance_mean,-0.5401483150857148,0.5401483150857148
n_tokens,0.5276512194897756,0.5276512194897756
dep_rel_root,-0.5186431654728256,0.5186431654728256
avg_sentence_length,0.5161479766801969,0.5161479766801969
pos_AUX,0.47718007769933507,0.47718007769933507
dep_rel_cop,0.4616235986913655,0.4616235986913655
pos_ADV,-0.4551780593410447,0.4551780593410447
L_MTLD,-0.45129814267328633,0.45129814267328633
dep_rel_nmod,0.2980757234884478,0.2980757234884478
case_Gen,0.29591514398640406,0.29591514398640406
dep_rel_det,0.29502213049342363,0.29502213049342363
pos_DET,0.2791029149521211,0.2791029149521211
pos_SCONJ,-0.2610650356730152,0.2610650356730152
dep_rel_mark,-0.25905633718805565,0.25905633718805565
gender_Masc,0.2481293816984444,0.2481293816984444
n_sentences,-0.24698045068918043,0.24698045068918043
dep_rel_acl,0.23175963057929683,0.23175963057929683
dep_rel_obl,0.23133807722938265,0.23133807722938265
pos_NUM,0.20284005820836237,0.20284005820836237
n_types,0.19369448741486253,0.19369448741486253
dep_rel_advmod,-0.18657459893662584,0.18657459893662584
gender_Neut,-0.18365636746978184,0.18365636746978184
pos_PRON,0.18354643760004477,0.18354643760004477
case_Acc,-0.1763255087786967,0.1763255087786967
case_Nom,-0.16696050301907098,0.16696050301907098
case_Voc,0.14809492297783808,0.14809492297783808
case_entropy,0.12240206460852496,0.12240206460852496
L_Root_TTR,-0.12123303151828023,0.12123303151828023
dep_rel_conj,0.11857412661026835,0.11857412661026835
avg_word_length,-0.11732174378616114,0.11732174378616114
dep_rel_appos,0.11133098890827865,0.11133098890827865
gender_Fem,-0.10907277339627812,0.10907277339627812
pos_ADJ,-0.10623665517443244,0.10623665517443244
pos_VERB,-0.09744787352387266,0.09744787352387266
mood_Opt,-0.09693315851393822,0.09693315851393822
dep_rel_obj,-0.0957639500267767,0.0957639500267767
case_Dat,0.08097120998837493,0.08097120998837493
pos_ADP,0.0790763118166156,0.0790763118166156
mood_entropy,-0.07610251270221637,0.07610251270221637
dep_rel_case,0.07357948289127696,0.07357948289127696
tense_Fut,-0.07020733223279875,0.07020733223279875
dep_rel_aux,0.06524590699057906,0.06524590699057906
aspect_Perf,0.06497952181278462,0.06497952181278462
aspect_Imp,-0.06497952181278349,0.06497952181278349
pos_INTJ,0.06360123484968325,0.06360123484968325
dep_rel_xcomp,-0.06222573319048737,0.06222573319048737
mood_Ind,0.05235993917111565,0.05235993917111565
tense_Pres,0.052104613520101685,0.052104613520101685
dep_distance_std,0.050093866248114384,0.050093866248114384
dep_rel_nsubj,-0.04700401838158642,0.04700401838158642
dep_rel_fixed,0.04322578950661771,0.04322578950661771
dep_rel_amod,-0.038370087066261604,0.038370087066261604
pos_PROPN,0.03325005277048425,0.03325005277048425
noun_verb_ratio,0.03258457344500316,0.03258457344500316
mood_Sub,-0.02931246206737276,0.02931246206737276
tense_Past,-0.027806016333452258,0.027806016333452258
hapax_legomena,-0.02538626601239377,0.02538626601239377
dep_rel_flat,-0.023817025186682717,0.023817025186682717
dep_rel_parataxis,0.022842983797977084,0.022842983797977084
dep_rel_ccomp,-0.0212381903858546,0.0212381903858546
pos_NOUN,-0.020855809043559322,0.020855809043559322
pos_CCONJ,0.017656412847359762,0.017656412847359762
mood_Imp,0.01691343451765192,0.01691343451765192
dep_rel_cc,0.008959428090355133,0.008959428090355133
text_entropy,0.006744512650575064,0.006744512650575064
dep_rel_advcl,-0.0008033905549087342,0.0008033905549087342
chunk_index,0.0,0.0
