system,prompt,author,distance
GPT5,Restricted,Aeschines,18.66459207035634
GPT5,Restricted,Aeschines,19.274838457107663
GPT5,Restricted,Aeschines,17.53106263600286
GPT5,Restricted,Aeschines,11.067884178374365
GPT5,Restricted,Aeschines,13.895300334790349
GPT5,Restricted,Aeschines,14.531278420977358
GPT5,Restricted,Aeschines,13.085446297861006
GPT5,Restricted,Aeschines,14.36998105976973
GPT5,Restricted,Aeschines,10.573321598633717
GPT5,Restricted,Aeschines,12.339523301168343
GPT5,Restricted,Aeschines,11.360045573974878
GPT5,Restricted,Aeschines,11.81476217712024
GPT5,Restricted,Aeschines,10.823219960351054
GPT5,Restricted,Aeschines,11.715039365275727
GPT5,Restricted,Aeschines,12.528871660432273
GPT5,Restricted,Aeschines,13.077400184512728
GPT5,Restricted,Aeschines,12.47237775610359
GPT5,Restricted,Aeschines,12.594415814874921
GPT5,Restricted,Aeschines,10.836492685995925
GPT5,Restricted,Aeschines,11.630185938065816
GPT5,Restricted,Aeschines,10.858910672582228
GPT5,Restricted,Aeschines,11.520528104706939
GPT5,Restricted,Aeschines,13.317944193849359
GPT5,Restricted,Aeschines,11.35944530128902
GPT5,Restricted,Aeschines,11.394256225459696
GPT5,Restricted,Aeschines,14.42980350365681
GPT5,Restricted,Aeschines,12.665110709137693
GPT5,Restricted,Aeschines,11.525191234010281
GPT5,Restricted,Aeschines,11.353733358428755
GPT5,Restricted,Aeschines,11.530748812637318
GPT5,Restricted,Aeschines,10.848435536977703
GPT5,Restricted,Aeschines,12.315538005081395
GPT5,Restricted,Aeschines,14.14545884728793
GPT5,Restricted,Aeschines,12.198611766647923
GPT5,Restricted,Aeschines,12.52664922241275
GPT5,Restricted,Aeschines,9.166238866844928
GPT5,Restricted,Aeschines,15.28307030999033
GPT5,Restricted,Aeschines,14.001545679892057
GPT5,Restricted,Aeschines,14.146965116533417
GPT5,Restricted,Aeschines,11.835183665671282
GPT5,Restricted,Aeschines,11.597311187731641
GPT5,Restricted,Aeschines,13.005354170641422
GPT5,Restricted,Aeschines,10.853270293997431
GPT5,Restricted,Aeschines,14.916589628737507
GPT5,Restricted,Aeschines,11.96697020458074
GPT5,Restricted,Aeschines,11.420646033839867
GPT5,Restricted,Aeschines,9.684286583131733
GPT5,Restricted,Aeschines,13.608277155796436
GPT5,Restricted,Aeschines,11.818409256229987
GPT5,Restricted,Aeschines,10.961990640906334
GPT5,Restricted,Aeschines,12.995589706504884
GPT5,Restricted,Aeschines,13.599945630783393
GPT5,Restricted,Aeschines,12.758239384711592
GPT5,Restricted,Aeschines,12.8233822262784
GPT5,Restricted,Aeschines,12.323060144545297
GPT5,Restricted,Aeschines,9.67753603867669
GPT5,Restricted,Aeschines,12.432313071108998
GPT5,Restricted,Aeschines,10.689960670016733
GPT5,Restricted,Aeschines,8.13199928613791
GPT5,Restricted,Aeschines,14.682618311078151
GPT5,Restricted,Aeschines,15.110123212656344
GPT5,Restricted,Aeschines,13.758518940166427
GPT5,Restricted,Aeschines,13.179580147586048
GPT5,Restricted,Aeschines,11.76432523141673
GPT5,Restricted,Aeschines,12.237634319773845
GPT5,Restricted,Aeschines,13.191780307398002
GPT5,Restricted,Aeschines,12.531612469499166
GPT5,Restricted,Aeschines,10.69161493311066
GPT5,Restricted,Aeschines,12.318693004977769
GPT5,Restricted,Aeschines,12.039777784412724
GPT5,Restricted,Aeschines,14.190542201982975
GPT5,Restricted,Aeschines,14.761111199332081
GPT5,Restricted,Aeschines,10.86269292415493
GPT5,Restricted,Aeschines,11.843795059241144
GPT5,Restricted,Aeschines,11.032916013740126
GPT5,Restricted,Aeschines,11.610767525053049
GPT5,Restricted,Aeschines,12.488568424842393
GPT5,Restricted,Aeschines,12.018311021005605
GPT5,Restricted,Aeschines,12.476479186089955
GPT5,Restricted,Aeschines,11.757484248063818
GPT5,Restricted,Aeschines,12.359993331193373
GPT5,Restricted,Aeschines,13.82378371197984
GPT5,Restricted,Aeschines,14.486772882323432
GPT5,Restricted,Aeschines,13.08100908615532
GPT5,Restricted,Aeschines,14.178698344272753
GPT5,Restricted,Aeschines,11.291650635766535
GPT5,Restricted,Aeschines,12.562163452669102
GPT5,Restricted,Aeschines,12.617804183844166
GPT5,Restricted,Aeschines,14.361316991301313
GPT5,Restricted,Aeschines,12.66237768215795
GPT5,Restricted,Aeschines,12.075896969655664
GPT5,Restricted,Aeschines,10.167447660035085
GPT5,Restricted,Aeschines,13.495573490304114
GPT5,Restricted,Aeschines,12.082089958878003
GPT5,Restricted,Aeschines,14.068728108378718
GPT5,Restricted,Aeschines,10.68763290390159
GPT5,Restricted,Aeschines,13.381509781423585
GPT5,Restricted,Aeschines,14.19616577333465
GPT5,Restricted,Aeschines,11.706018023092092
GPT5,Restricted,Aeschines,12.40322035380941
GPT5,Restricted,Aeschines,12.780526437091003
GPT5,Restricted,Aeschines,15.184154412907917
GPT5,Restricted,Aeschines,13.93987302079387
GPT5,Restricted,Aeschines,12.609790132871085
GPT5,Restricted,Aeschines,13.14987602663603
GPT5,Restricted,Aeschines,13.456809274746272
GPT5,Restricted,Aeschines,14.24738703983667
GPT5,Restricted,Aeschines,14.51303277813849
GPT5,Restricted,Aeschines,14.410275878857318
GPT5,Restricted,Andocides,11.8359923622472
GPT5,Restricted,Andocides,10.33640295607601
GPT5,Restricted,Andocides,12.756240988077936
GPT5,Restricted,Andocides,13.698664083136366
GPT5,Restricted,Andocides,10.497398183492452
GPT5,Restricted,Andocides,10.027054066580344
GPT5,Restricted,Andocides,12.928904416159742
GPT5,Restricted,Andocides,13.377409275205816
GPT5,Restricted,Andocides,11.619642501421868
GPT5,Restricted,Andocides,13.477617171186807
GPT5,Restricted,Andocides,12.988146885800106
GPT5,Restricted,Andocides,13.272254678342431
GPT5,Restricted,Andocides,10.440185149286316
GPT5,Restricted,Andocides,11.787990951182787
GPT5,Restricted,Andocides,14.297393485210254
GPT5,Restricted,Andocides,9.987500273420233
GPT5,Restricted,Andocides,11.243626602915413
GPT5,Restricted,Andocides,10.545186043702538
GPT5,Restricted,Andocides,10.819050175893489
GPT5,Restricted,Andocides,12.649501672380596
GPT5,Restricted,Andocides,11.71460242318072
GPT5,Restricted,Andocides,15.643865781879379
GPT5,Restricted,Andocides,10.710877199912003
GPT5,Restricted,Andocides,13.89436836139336
GPT5,Restricted,Andocides,12.39119753975069
GPT5,Restricted,Andocides,13.974035969558685
GPT5,Restricted,Andocides,13.274275576121957
GPT5,Restricted,Andocides,12.405607141904849
GPT5,Restricted,Andocides,11.724117990026217
GPT5,Restricted,Andocides,11.591154019089874
GPT5,Restricted,Andocides,12.583444778169788
GPT5,Restricted,Andocides,12.73652168060738
GPT5,Restricted,Andocides,14.210758002557165
GPT5,Restricted,Andocides,15.453710291405498
