author,mood,case
Aeschines,5.5122006633614887e-05,1.664147498341026e-05
Andocides,7.231016670666788e-05,1.8908064343131696e-05
Antiphon,5.076608166234566e-06,5.986254382591278e-05
Demosthenes,7.951766555280414e-05,4.435441577537163e-05
Dinarchus,0.00018421184165243168,4.508350801006088e-05
Hyperides,0.00037541052926345523,2.8534886141589203e-05
Isaeus,7.048944772389395e-05,2.3938215511135152e-05
Isocrates,1.4431422568320367e-05,4.170559356713653e-05
Lycurgus,0.00019188843855313335,2.7828669686717724e-05
Lysias,0.00035337851771292174,4.548901545030798e-05
