author,embedding_distance,canberra_distance,cosine_distance_distance,euclidean_distance,manhattan_distance
Dinarchus,0.4000081710423984,11.859293228142096,0.0063251653989946,65.58719084110322,119.2228551692617
Antiphon,0.4359837793035297,14.08798427457983,0.0105247618896398,84.98665235185243,155.62371096271198
Lycurgus,0.4637538115386492,12.1400944243348,0.0042453916275525,51.84310040460646,96.33640797400714
Isocrates,0.4729962977360787,14.499519617922582,0.0042282362479932,54.10205915496466,99.56818471456243
Isaeus,0.48996128049471094,12.709821848668788,0.0044392109028398,55.53099216567819,101.56174445670588
Lysias,0.4989100838832276,12.199108237671936,0.0058441374934809,50.8248247033147,98.83018706751425
Aeschines,0.5974228942409107,12.77981982674042,0.0063911419278514,59.640047477759886,110.16883985614724
Andocides,0.6486675896413212,12.623386002332555,0.0043962088984882,57.57554399689521,103.89073165855902
Hyperides,0.7816628971850426,12.360548493036744,0.0035891893991664,62.588206451956815,119.92512441872236
Demosthenes,0.8673985156904929,12.400152293964291,0.0048183221068068,59.40040316755967,110.92014866754616
