author,mean_distance,std_distance,n_samples
Dinarchus,0.4000081710423984,0.12124241764117186,104
Antiphon,0.4359837793035297,0.14639080324310738,196
Lycurgus,0.4637538115386492,0.1599375014120456,100
Isocrates,0.4729962977360787,0.25954292672209245,1116
Isaeus,0.48996128049471094,0.16444882795128216,332
Lysias,0.4989100838832276,0.11334449368673219,56
Aeschines,0.5974228942409107,0.17357959457724603,436
Andocides,0.6486675896413212,0.20673380790659868,160
Hyperides,0.7816628971850426,0.25749650809245983,112
Demosthenes,0.8673985156904929,0.24234305284608526,2676
