author,mean_distance,JS_divergence
Dinarchus,0.4000081710423984,0.0001842118416524
Antiphon,0.4359837793035297,5.076608166234566e-06
Lycurgus,0.4637538115386492,0.0001918884385531
Isocrates,0.4729962977360787,1.4431422568320368e-05
Isaeus,0.48996128049471094,7.048944772389395e-05
Lysias,0.4989100838832276,0.0003533785177129
Aeschines,0.5974228942409107,5.5122006633614887e-05
Andocides,0.6486675896413212,7.231016670666788e-05
Hyperides,0.7816628971850426,0.0003754105292634
Demosthenes,0.8673985156904929,7.951766555280414e-05
