author,mean_distance,std_distance,n_samples
Isaeus,0.31396966828767114,0.21701945409492698,332
Isocrates,0.4257307298548218,0.27857379425953066,1116
Antiphon,0.4325961101068856,0.17605100639315197,196
Dinarchus,0.4472367730569892,0.221980176809474,104
Lycurgus,0.49009124687713185,0.2068790315535465,100
Aeschines,0.5548707396635294,0.22658815800693877,436
Lysias,0.5929455203883187,0.24274877100162923,56
Andocides,0.6885905842639094,0.2078466076898827,160
Hyperides,0.7219472026567547,0.1609868873958053,112
Demosthenes,0.7905172480331069,0.375162944414803,2676
