feature,cohens_d_HminusL,welch_p,mean_human,mean_llm,abs_d
n_tokens,1.9804032106128953,0.0004424724519622099,150.24705882352941,143.5,1.9804032106128953
chunk_index,1.821318577254697,4.407376702610989e-26,42.0,1.0,1.821318577254697
case_Voc,-1.3167815704334602,1.0099263351097105e-07,0.011842352066107566,0.030835210426199515,1.3167815704334602
pos_INTJ,-1.2793036576735075,1.145462072084135e-07,0.004704843526814672,0.01117031947287238,1.2793036576735075
pos_PROPN,-1.2298827108319592,0.01565561671764986,0.00039215686274509537,0.0038492540637426664,1.2298827108319592
case_entropy,-1.2121058791642059,9.44678231125242e-06,1.8913997255765647,2.0400032501314715,1.2121058791642059
n_types,1.112181958067048,0.0019827687366985114,115.85882352941177,109.16666666666667,1.112181958067048
case_Dat,-1.0134361606311515,0.003160756477212407,0.1404919377865307,0.19768083260995561,1.0134361606311515
gender_Neut,0.9387402630241838,1.4012373760012005e-07,0.18928529915479778,0.12314191949326253,0.9387402630241838
text_entropy,0.8778960863524418,0.01471364130555352,6.641530463345533,6.5262752383018885,0.8778960863524418
gender_Masc,-0.8405425624869962,0.0019306832822670302,0.5795592665155395,0.6596706730788875,0.8405425624869962
dep_rel_nsubj,0.7871494676102521,0.0061480162467843665,0.061515893356296834,0.04477218598369612,0.7871494676102521
pos_CCONJ,-0.7501081204721112,0.00017823551858645262,0.0606586248766963,0.07624358274052073,0.7501081204721112
dep_rel_root,-0.7390369265651427,0.0027485310873230947,0.05304686336019243,0.06494559859075796,0.7390369265651427
L_Root_TTR,0.7205560005202395,0.02042196341603696,9.452462653347197,9.111419576148116,0.7205560005202395
hapax_legomena,0.7171958954387795,0.00714829101827999,96.76470588235294,91.0,0.7171958954387795
dep_rel_cc,-0.7148923823919444,0.00039416057445296345,0.0617566640923826,0.07631528995508507,0.7148923823919444
dep_rel_obj,0.6831006402125537,0.004828502104559141,0.08590389491453601,0.07136577213227513,0.6831006402125537
avg_sentence_length,0.6583954672471957,0.00019951106030729427,21.24382911206441,16.11969357802691,0.6583954672471957
tense_Pres,-0.6083167161416997,0.011904372661812537,0.49637658139917856,0.5768756806324419,0.6083167161416997
pos_ADV,-0.5947953383860634,0.002718658057272023,0.1266313192408368,0.14449707277125096,0.5947953383860634
n_sentences,-0.5755589977514222,0.020437888196187106,7.976470588235294,9.38888888888889,0.5755589977514222
case_Acc,0.5595800484386698,0.018834346448939363,0.3963863347651827,0.3480136917700048,0.5595800484386698
mood_entropy,0.5530806820984498,0.04593960090249989,0.6863108943105948,0.4548613164720268,0.5530806820984498
pos_AUX,0.5511392886525751,0.031115460212712904,0.016287189861421462,0.01039721679078066,0.5511392886525751
dep_rel_cop,0.5301841892244953,0.04856486340604586,0.014562738491469511,0.009198261425158635,0.5301841892244953
tense_Past,0.5245559492996954,0.0078113491587365625,0.43661329672547133,0.36787685682209004,0.5245559492996954
dep_rel_ccomp,-0.5220815672204554,0.04764477543148638,0.01392461676200627,0.019715117885763377,0.5220815672204554
pos_NUM,0.5032192874014759,0.01151837049173578,0.01213500183389258,0.006509713464915478,0.5032192874014759
L_MTLD,0.4998654135386548,0.09027547047606936,182.37413908348168,161.64021266115964,0.4998654135386548
dep_rel_acl,0.49131288356419844,0.035937154299052296,0.012860148032722984,0.008070404793448172,0.49131288356419844
case_Gen,0.46984146441283375,0.04984234955615422,0.230706077529069,0.19660362266705725,0.46984146441283375
mood_Ind,-0.4518463128631333,0.08964361296413446,0.8269025055174485,0.8834866567709706,0.4518463128631333
dep_rel_mark,0.44485456945500057,0.04513870812619319,0.026542435819453803,0.02056894161103826,0.44485456945500057
dep_distance_mean,-0.43498876962171423,0.05673997136205581,2.8759368974507367,2.9830680800139966,0.43498876962171423
pos_ADP,0.41997795172022706,0.0220260292619366,0.0557499800663846,0.048291446349137665,0.41997795172022706
pos_NOUN,0.412511733008813,0.014994707556317984,0.1733055857407445,0.16038205901749875,0.412511733008813
dep_rel_case,0.4058608881654546,0.02644254314216957,0.055514685948737534,0.048291446349137665,0.4058608881654546
dep_rel_obl,-0.3884862675819097,0.09650448866251607,0.08830769300865457,0.09606066328999993,0.3884862675819097
mood_Opt,0.367087127254168,0.002743698544760404,0.007477701159813386,0.0,0.367087127254168
pos_PRON,0.3359946778313063,0.13945069307656077,0.09409962251427814,0.08407182940604324,0.3359946778313063
dep_rel_fixed,0.33571040203162544,0.005945132691890597,0.0007058823529411706,0.0,0.33571040203162544
L_Log_TTR,0.3240556128373787,0.2648043165648997,0.947934394937773,0.9446520007137779,0.3240556128373787
mood_Imp,0.3210585157738357,0.07161606211509258,0.05502957529108224,0.03420773580087304,0.3210585157738357
dep_rel_advcl,0.29214424204749945,0.32995186817102373,0.06655920283763554,0.05956400654174882,0.29214424204749945
dep_rel_parataxis,0.28448422759945413,0.13632052363194938,0.0010980392156862647,0.00037537537537537223,0.28448422759945413
mood_Sub,0.278242682460108,0.34282843632211357,0.11059021803165577,0.08230560742815644,0.278242682460108
L_TTR,0.2673267846616674,0.348774949793336,0.7712266941864467,0.7608402268318936,0.2673267846616674
dep_rel_advmod,-0.2580798369141825,0.19530361985788314,0.07560544654715605,0.0823945344231868,0.2580798369141825
dep_distance_std,-0.2575106657131263,0.3155098624865066,3.0615339108722437,3.2380953009286455,0.2575106657131263
avg_word_length,0.23160781129087513,0.19538764617465892,5.253564499484004,5.196918589251319,0.23160781129087513
pos_VERB,0.21473104772825433,0.38055067425477407,0.19708527258934241,0.19071766593095762,0.21473104772825433
dep_rel_nmod,0.21407435897215638,0.3450302679195547,0.02944987322220624,0.02635460152693388,0.21407435897215638
aspect_Imp,0.20258717158231349,0.43530567394442665,0.1199369060820487,0.09581128747795413,0.20258717158231349
aspect_Perf,-0.20258717158231349,0.43530567394442665,0.8800630939179512,0.9041887125220458,0.20258717158231349
noun_verb_ratio,0.19717874224888743,0.31338578427138397,0.9131682895555108,0.8613857181600026,0.19717874224888743
tense_Fut,0.1715887131343618,0.3892957521402822,0.0642870855220787,0.05524746254546793,0.1715887131343618
gender_Fem,0.16672164867070388,0.4845855781724462,0.22315165656158364,0.21069123335346923,0.16672164867070388
dep_rel_xcomp,0.15668185499219117,0.441504321524987,0.025147857307207724,0.022872413624282023,0.15668185499219117
dep_rel_appos,-0.14179436378504642,0.5940411846990941,0.0017249707830151824,0.0022944255402650776,0.14179436378504642
pos_SCONJ,0.1247358876916919,0.6043203603749578,0.02442530817369351,0.022793563515970495,0.1247358876916919
pos_DET,-0.12146598210136798,0.5304125939009949,0.1580168171369861,0.16172530756471468,0.12146598210136798
dep_rel_aux,0.11893552145303485,0.32018252154415267,7.843137254901882e-05,0.0,0.11893552145303485
pos_ADJ,-0.10464612123313098,0.615546646240349,0.07650827757616346,0.07935096891159417,0.10464612123313098
dep_rel_conj,-0.10368409275989021,0.5867919108253012,0.06637500256289336,0.06883327684000373,0.10368409275989021
case_Nom,-0.08611039876242597,0.6819936219576144,0.22057329785310992,0.2268666425267828,0.08611039876242597
lexical_density,-0.04557433033792359,0.817184642920568,0.5735304551470873,0.5749477666313018,0.04557433033792359
dep_rel_amod,-0.04479347027142762,0.8316061476086066,0.025169718218413153,0.025777128485650436,0.04479347027142762
dep_rel_det,0.04365516389886108,0.813553535724812,0.16512102096560705,0.1637027382546905,0.04365516389886108
pos_PART,,,0.0,0.0,
pos_PUNCT,,,0.0,0.0,
pos_X,,,0.0,0.0,
aspect_Aor,,,0.0,0.0,
dep_rel_iobj,,,0.0,0.0,
dep_rel_punct,,,0.0,0.0,
dep_rel_flat,,,0.0,0.0,
