feature,cohens_d_HminusL,abs_d
pos_PROPN,-2.7783383265928854,2.7783383265928854
n_tokens,2.150768750305643,2.150768750305643
chunk_index,1.7098349011131921,1.7098349011131921
pos_INTJ,-1.291315037110962,1.291315037110962
case_Voc,-1.0800172249661997,1.0800172249661997
case_entropy,-1.0590785189184964,1.0590785189184964
dep_rel_root,-1.0178781206874732,1.0178781206874732
gender_Neut,1.0141934838585467,1.0141934838585467
dep_rel_acl,0.9669847119646653,0.9669847119646653
gender_Masc,-0.8959233239041645,0.8959233239041645
n_sentences,-0.8788188725496613,0.8788188725496613
n_types,0.8505599943360002,0.8505599943360002
case_Dat,-0.8400015539666607,0.8400015539666607
dep_rel_obj,0.8359142256671069,0.8359142256671069
avg_sentence_length,0.795279565279173,0.795279565279173
dep_rel_cop,0.6553715663851752,0.6553715663851752
case_Acc,0.6404852273503715,0.6404852273503715
text_entropy,0.6299834009364915,0.6299834009364915
pos_AUX,0.5622986363906032,0.5622986363906032
mood_entropy,0.5601603104409455,0.5601603104409455
pos_NUM,0.5574523586346651,0.5574523586346651
dep_rel_nmod,0.5387285315041987,0.5387285315041987
aspect_Imp,0.5317153554066619,0.5317153554066619
aspect_Perf,-0.5317153554066613,0.5317153554066613
pos_ADP,0.5252446620887132,0.5252446620887132
dep_rel_case,0.5114683670466885,0.5114683670466885
hapax_legomena,0.510972466408594,0.510972466408594
pos_ADV,-0.5032473536897324,0.5032473536897324
pos_NOUN,0.49579967181049533,0.49579967181049533
L_Root_TTR,0.4849489939663173,0.4849489939663173
pos_CCONJ,-0.4828526613453426,0.4828526613453426
pos_PRON,0.4544680746155008,0.4544680746155008
dep_distance_std,-0.4525991928141042,0.4525991928141042
case_Gen,0.4309297901139685,0.4309297901139685
dep_rel_mark,0.410847923108404,0.410847923108404
mood_Ind,-0.3955942474032596,0.3955942474032596
dep_rel_cc,-0.38834118199452705,0.38834118199452705
dep_rel_ccomp,-0.38731191550975,0.38731191550975
tense_Pres,-0.3834295689974877,0.3834295689974877
L_MTLD,0.38053228301586467,0.38053228301586467
dep_rel_nsubj,0.36189602789861636,0.36189602789861636
case_Nom,-0.355638753896958,0.355638753896958
tense_Past,0.34794525376728325,0.34794525376728325
mood_Opt,0.34459063603320833,0.34459063603320833
pos_ADJ,-0.3400294102571892,0.3400294102571892
pos_DET,-0.33256777107267294,0.33256777107267294
dep_rel_advcl,0.32866673414957936,0.32866673414957936
dep_rel_fixed,0.315136795518695,0.315136795518695
mood_Imp,0.31000854023782404,0.31000854023782404
pos_VERB,0.2968209427054387,0.2968209427054387
dep_distance_mean,-0.2811888252441578,0.2811888252441578
dep_rel_advmod,-0.21542149815238562,0.21542149815238562
mood_Sub,0.2114681364007882,0.2114681364007882
noun_verb_ratio,0.19687342549936088,0.19687342549936088
dep_rel_amod,-0.1748219354267981,0.1748219354267981
dep_rel_obl,-0.16562797841198976,0.16562797841198976
pos_SCONJ,-0.16119967839939284,0.16119967839939284
dep_rel_appos,-0.1455074622252906,0.1455074622252906
L_Log_TTR,0.13699005909880893,0.13699005909880893
gender_Fem,0.1340507381494398,0.1340507381494398
dep_rel_det,-0.13387384816271156,0.13387384816271156
dep_rel_aux,0.11164670167272185,0.11164670167272185
dep_rel_conj,-0.1025192693268877,0.1025192693268877
L_TTR,0.09613586216571458,0.09613586216571458
avg_word_length,0.07303965082882818,0.07303965082882818
tense_Fut,0.03480946888587033,0.03480946888587033
dep_rel_xcomp,-0.015430018232559807,0.015430018232559807
dep_rel_parataxis,-0.010419739451755287,0.010419739451755287
lexical_density,0.0020539212632434893,0.0020539212632434893
