feature,cohens_d_HminusL,abs_d
n_tokens,3.3267478287862087,3.3267478287862087
n_types,2.205617041095022,2.205617041095022
text_entropy,1.8719106851795508,1.8719106851795508
chunk_index,1.7098349011131921,1.7098349011131921
L_Root_TTR,1.6637426194013158,1.6637426194013158
case_Voc,-1.5944344669020651,1.5944344669020651
hapax_legomena,1.5040092236879643,1.5040092236879643
pos_INTJ,-1.3556670073198316,1.3556670073198316
L_MTLD,1.2034154023103727,1.2034154023103727
case_entropy,-1.1711031968914625,1.1711031968914625
L_Log_TTR,1.1315637053898893,1.1315637053898893
L_TTR,1.0345151243033552,1.0345151243033552
case_Dat,-0.9757817251175631,0.9757817251175631
pos_CCONJ,-0.9213498133630182,0.9213498133630182
dep_rel_cc,-0.8920493259183988,0.8920493259183988
gender_Neut,0.8029533520497552,0.8029533520497552
dep_rel_nsubj,0.7826325693167457,0.7826325693167457
gender_Masc,-0.7586763602522206,0.7586763602522206
mood_entropy,0.654294954245849,0.654294954245849
dep_rel_obj,0.6496365165692793,0.6496365165692793
dep_distance_mean,-0.5983291640960442,0.5983291640960442
mood_Ind,-0.5892887466946818,0.5892887466946818
dep_rel_advcl,0.567061352515992,0.567061352515992
dep_rel_ccomp,-0.5632633903282783,0.5632633903282783
tense_Pres,-0.548920570656644,0.548920570656644
dep_distance_std,-0.4965642371495557,0.4965642371495557
dep_rel_root,-0.49060375823497643,0.49060375823497643
mood_Imp,0.4778578834279805,0.4778578834279805
dep_rel_mark,0.46744309625752817,0.46744309625752817
avg_sentence_length,0.46740106258456926,0.46740106258456926
dep_rel_acl,0.4623842276269223,0.4623842276269223
pos_ADV,-0.4559541212666699,0.4559541212666699
tense_Past,0.44487353522876166,0.44487353522876166
pos_NUM,0.44372203322413545,0.44372203322413545
case_Gen,0.4283143958521587,0.4283143958521587
dep_rel_parataxis,0.4198915027302763,0.4198915027302763
case_Acc,0.41577736253912095,0.41577736253912095
pos_VERB,0.39986774287381677,0.39986774287381677
avg_word_length,0.37036545181648756,0.37036545181648756
mood_Opt,0.34459063603320833,0.34459063603320833
pos_SCONJ,0.3424319066613256,0.3424319066613256
mood_Sub,0.3415465279598082,0.3415465279598082
lexical_density,0.3233059673120268,0.3233059673120268
dep_rel_fixed,0.315136795518695,0.315136795518695
n_sentences,-0.2758216278447942,0.2758216278447942
dep_rel_advmod,-0.2717746434013787,0.2717746434013787
pos_PRON,0.25683565613049436,0.25683565613049436
pos_NOUN,0.24962462897024587,0.24962462897024587
pos_DET,-0.22186607919467174,0.22186607919467174
pos_PROPN,0.21429799954955012,0.21429799954955012
dep_rel_det,-0.2072790342832616,0.2072790342832616
pos_ADP,0.20444351908928257,0.20444351908928257
dep_rel_amod,0.20168831190064188,0.20168831190064188
tense_Fut,0.19938343437367548,0.19938343437367548
dep_rel_case,0.1913373432040966,0.1913373432040966
pos_AUX,0.1751025700335108,0.1751025700335108
pos_ADJ,0.16177927675832382,0.16177927675832382
dep_rel_appos,0.15758736485194005,0.15758736485194005
dep_rel_cop,0.14255569542032856,0.14255569542032856
gender_Fem,0.13140445973985554,0.13140445973985554
dep_rel_obl,-0.12595609982246236,0.12595609982246236
case_Nom,0.12457456494106145,0.12457456494106145
dep_rel_aux,0.11164670167272185,0.11164670167272185
dep_rel_xcomp,0.10805554348902136,0.10805554348902136
dep_rel_nmod,-0.05655930037392166,0.05655930037392166
dep_rel_conj,-0.045574468051819854,0.045574468051819854
noun_verb_ratio,0.039483093507749784,0.039483093507749784
aspect_Perf,-0.029246638248039143,0.029246638248039143
aspect_Imp,0.02924663824803857,0.02924663824803857
