feature,cohens_d_HminusL,abs_d
n_tokens,4.942404330717182,4.942404330717182
chunk_index,1.7383795386374319,1.7383795386374319
pos_PROPN,-1.7043350985087529,1.7043350985087529
n_types,1.671399714575447,1.671399714575447
case_Voc,-1.2873201883630607,1.2873201883630607
pos_INTJ,-1.240329129091221,1.240329129091221
text_entropy,1.1842172970235736,1.1842172970235736
case_entropy,-1.1468022983940092,1.1468022983940092
case_Dat,-1.0322350512655647,1.0322350512655647
hapax_legomena,0.9853282540065156,0.9853282540065156
dep_rel_cc,-0.9131626588819626,0.9131626588819626
pos_CCONJ,-0.9108303260660403,0.9108303260660403
L_Root_TTR,0.9103983346716189,0.9103983346716189
gender_Neut,0.8512254330904221,0.8512254330904221
dep_rel_cop,0.802262973584072,0.802262973584072
dep_rel_obj,0.783157508386022,0.783157508386022
dep_rel_nsubj,0.7666668540700134,0.7666668540700134
pos_ADV,-0.7552882766887283,0.7552882766887283
gender_Masc,-0.736652742161989,0.736652742161989
pos_AUX,0.6894669298298761,0.6894669298298761
dep_rel_nmod,0.6480236960821938,0.6480236960821938
mood_entropy,0.6340108349038482,0.6340108349038482
case_Gen,0.6324446863527894,0.6324446863527894
dep_distance_mean,-0.5821623869565884,0.5821623869565884
pos_NUM,0.5746415676120691,0.5746415676120691
case_Acc,0.535070929266771,0.535070929266771
pos_NOUN,0.5048417471659559,0.5048417471659559
L_MTLD,0.5044599043881139,0.5044599043881139
dep_rel_acl,0.49546310439428376,0.49546310439428376
mood_Ind,-0.48950906960245083,0.48950906960245083
mood_Imp,0.46225988945818913,0.46225988945818913
tense_Pres,-0.44403754714669313,0.44403754714669313
avg_sentence_length,0.43819628637398633,0.43819628637398633
tense_Past,0.4272479247154997,0.4272479247154997
dep_rel_parataxis,0.4269096740764874,0.4269096740764874
dep_rel_ccomp,-0.4223443631455344,0.4223443631455344
dep_rel_root,-0.42051860662069773,0.42051860662069773
dep_rel_obl,-0.41631830963868754,0.41631830963868754
dep_rel_advmod,-0.41150533265907296,0.41150533265907296
pos_PRON,0.393239799228924,0.393239799228924
dep_distance_std,-0.3748809666829228,0.3748809666829228
mood_Opt,0.35035020990468624,0.35035020990468624
pos_ADP,0.3297119528043251,0.3297119528043251
dep_rel_fixed,0.3204040705506139,0.3204040705506139
dep_rel_case,0.3162264691804983,0.3162264691804983
avg_word_length,0.2834908206725715,0.2834908206725715
dep_rel_conj,-0.2676970107850525,0.2676970107850525
pos_VERB,0.2634119097136537,0.2634119097136537
noun_verb_ratio,0.2517850890496693,0.2517850890496693
mood_Sub,0.2275591192958673,0.2275591192958673
case_Nom,-0.22560044502686222,0.22560044502686222
dep_rel_det,0.22030327427727467,0.22030327427727467
L_Log_TTR,0.18576990998422085,0.18576990998422085
dep_rel_advcl,0.17830543210589242,0.17830543210589242
pos_SCONJ,-0.14532489301796933,0.14532489301796933
n_sentences,-0.14337572467286386,0.14337572467286386
dep_rel_mark,0.12536899635191306,0.12536899635191306
dep_rel_aux,0.11351279250209927,0.11351279250209927
L_TTR,0.08864197616388098,0.08864197616388098
gender_Fem,0.08830854218804114,0.08830854218804114
pos_ADJ,-0.08676437367845799,0.08676437367845799
dep_rel_xcomp,-0.07721493737586838,0.07721493737586838
pos_DET,0.06169412221609274,0.06169412221609274
lexical_density,-0.0466185374660549,0.0466185374660549
dep_rel_amod,0.03442535383657866,0.03442535383657866
dep_rel_appos,0.029102699441186663,0.029102699441186663
aspect_Perf,-0.024808465556495202,0.024808465556495202
aspect_Imp,0.024808465556494404,0.024808465556494404
tense_Fut,-0.008758651571976672,0.008758651571976672
