feature,delta_restricted_minus_free,mean_restricted,mean_free
avg_sentence_length,-3.147019030352361,14.546184062850731,17.693203093203092
L_MTLD,-0.18428061128579998,161.54807235551675,161.73235296680255
dep_distance_std,-0.16451939960231599,3.1558356011274875,3.3203550007298035
dep_distance_mean,-0.07780404293182075,2.9441660585480864,3.021970101479907
aspect_Imp,-0.04223985890652557,0.07469135802469135,0.11693121693121691
tense_Past,-0.021591941977337437,0.35708088583342135,0.3786728278107588
case_Nom,-0.020749423178316045,0.2164919309376247,0.23724135411594074
tense_Fut,-0.01903295443694361,0.045730985326996126,0.06476393976393974
L_TTR,-0.013950385665291831,0.7538650339992476,0.7678154196645395
gender_Fem,-0.011650590009101347,0.20486593834891853,0.21651652835801988
pos_ADV,-0.01096730027101775,0.1390134226357421,0.14998072290675984
mood_Sub,-0.010653335408237374,0.07697893972403774,0.08763227513227512
mood_Ind,-0.009685213116585656,0.8786440502126777,0.8883292633292633
dep_rel_cc,-0.00955169891378771,0.07153944049819122,0.08109113941197893
dep_rel_advmod,-0.008675796197701813,0.07805663632433588,0.08673243252203769
dep_rel_mark,-0.008575370651597088,0.01628125628523971,0.0248566269368368
dep_rel_conj,-0.0082054075717638,0.06473057305412183,0.07293598062588563
pos_CCONJ,-0.007985711633514733,0.07225072692376336,0.08023643855727809
gender_Neut,-0.007728402724919259,0.11927771813080293,0.1270061208557222
pos_SCONJ,-0.007069089629772863,0.019259018701084065,0.026328108330856928
dep_rel_xcomp,-0.006823007678091398,0.019460909785236326,0.026283917463327724
dep_rel_advcl,-0.0055668230556163295,0.05678059501394065,0.06234741806955698
case_Acc,-0.0033708724921231448,0.3463282555239432,0.34969912801606634
L_Log_TTR,-0.0028340123684608143,0.9432349945295475,0.9460690068980083
pos_ADP,-0.002788880511578787,0.04689700609334827,0.04968588660492706
dep_rel_case,-0.002788880511578787,0.04689700609334827,0.04968588660492706
pos_PROPN,-0.0017618410629987552,0.002968333532243289,0.004730174595242044
case_Dat,-0.0017546994081049927,0.19680348290590308,0.19855818231400807
dep_rel_nsubj,-0.001450296551014349,0.04404703770818895,0.0454973342592033
dep_rel_obl,-0.001412640054916231,0.09535434326254182,0.09676698331745805
lexical_density,-0.0001749849988192942,0.574860274131892,0.5750352591307113
pos_PART,0.0,0.0,0.0
aspect_Aor,0.0,0.0,0.0
chunk_index,0.0,1.0,1.0
dep_rel_iobj,0.0,0.0,0.0
mood_Opt,0.0,0.0,0.0
dep_rel_aux,0.0,0.0,0.0
dep_rel_punct,0.0,0.0,0.0
pos_X,0.0,0.0,0.0
pos_PUNCT,0.0,0.0,0.0
dep_rel_flat,0.0,0.0,0.0
dep_rel_fixed,0.0,0.0,0.0
pos_INTJ,3.293850211235662e-05,0.011186788723928556,0.011153850221816199
case_Voc,0.00020652798376473436,0.030938474418081882,0.030731946434317148
dep_rel_acl,0.00034870563887036583,0.008244757612883355,0.00789605197401299
dep_rel_parataxis,0.0007507507507507445,0.0007507507507507445,0.0
pos_ADJ,0.0008709021810583695,0.07978642000212338,0.07891551782106501
dep_rel_appos,0.0013682391642660663,0.0029785451223981107,0.0016103059581320444
pos_NUM,0.0018373856753259562,0.0074284063025784565,0.0055910206272525
dep_rel_amod,0.002175232604770344,0.026864744788035612,0.024689512183265268
dep_rel_ccomp,0.002177016634249712,0.020803626202888236,0.018626609568638524
pos_VERB,0.0029450796335321883,0.19219020574772372,0.18924512611419153
pos_AUX,0.0030400730735776777,0.0119172533275695,0.008877180253991823
pos_PRON,0.003572393366258364,0.08585802608917242,0.08228563272291406
dep_rel_obj,0.004810567837826782,0.07377105605118853,0.06896048821336175
dep_rel_cop,0.005437983804821732,0.0119172533275695,0.006479269522747768
pos_NOUN,0.006976333457607814,0.16387022574630264,0.15689389228869483
dep_rel_root,0.009925940697019159,0.06990856893926756,0.0599826282422484
pos_DET,0.011297717219410114,0.16737416617441975,0.15607644895500963
dep_rel_det,0.01195422777477409,0.16967985214207756,0.15772562436730347
case_entropy,0.01215727049094184,2.046081885376942,2.033924614886
dep_rel_nmod,0.012788610846918791,0.03274890695039328,0.01996029610347449
gender_Masc,0.018923875872490448,0.6691326110151327,0.6502087351426422
mood_Imp,0.020338548524823027,0.04437701006328456,0.024038461538461533
case_Gen,0.025668467094779435,0.20943785621444697,0.18376938911966753
avg_word_length,0.030700870624916554,5.212269024563779,5.181568153938862
noun_verb_ratio,0.03212046674183244,0.8774459515309189,0.8453254847890864
tense_Pres,0.04062489641428113,0.5971881288395825,0.5565632324253014
aspect_Perf,0.042239858906525485,0.9253086419753086,0.8830687830687831
mood_entropy,0.06402135497385658,0.4868719939589552,0.4228506389850986
text_entropy,0.07414605671103303,6.563348266657405,6.489202209946372
L_Root_TTR,0.17176449091869017,9.19730182160746,9.02553733068877
n_sentences,2.1111111111111107,10.444444444444445,8.333333333333334
hapax_legomena,4.444444444444457,93.22222222222223,88.77777777777777
n_types,6.111111111111114,112.22222222222223,106.11111111111111
n_tokens,10.777777777777771,148.88888888888889,138.11111111111111
