analysis_dir,n_png
01_Counts,8
02_Corpus_Summary,1
03_Sentence_Length,2
04_JS_Mood_byAuthor,2
05_JS_Case_byAuthor,2
06_JS_Particle_byAuthor,0
07_JS_Mood_bySystemPrompt,4
08_JS_Case_bySystemPrompt,4
08b_JS_Particle_bySystemPrompt,0
09_EffectSizes_Global,1
10_EffectSizes_bySystem,6
11_EffectSizes_byPrompt,6
12_Prompt_Deltas,1
13_Model_Comparison,1
14_PCA_Global,4
15_AuthorProximity_Global,5
16_AuthorProximity_bySystemPrompt,1
17_Classifier_Global,4
18_Classifier_bySystemPrompt,3
19_Composite_Predictions,4
20_Clause_Complexity,0
21_Lexical_Richness,5
22_Clustering,2
23_JSD_Comprehensive,4
24_Embeddings_Analysis,21
TOTAL,91
