feature,p_value,p_fdr,sig_fdr
dep_rel_root,6.444522485288925e-88,4.446720514849358e-86,True
lexical_density,1.0841502267362486e-78,3.740318282240058e-77,True
avg_sentence_length,7.295836195157777e-73,1.6780423248862888e-71,True
pos_NUM,1.5739335307554047e-69,2.715035340553073e-68,True
pos_ADV,2.012788390452509e-64,2.777647978824462e-63,True
n_sentences,6.594855005650856e-54,7.584083256498484e-53,True
dep_rel_det,4.5437815524460616e-48,4.478870387411118e-47,True
pos_DET,7.540562630821294e-48,6.503735269083366e-47,True
dep_distance_mean,6.748748127796871e-24,5.1740402313109347e-23,True
L_TTR,2.271229040531268e-20,1.5671480379665748e-19,True
gender_Masc,2.7448297905942884e-19,1.7217568686455084e-18,True
avg_word_length,4.994328543785723e-19,2.8717389126767907e-18,True
L_Log_TTR,7.99845569817312e-19,4.245334178261117e-18,True
dep_rel_acl,3.309242335132881e-16,1.6309837223154914e-15,True
dep_rel_nmod,1.2433076122102142e-15,5.7192150161669856e-15,True
dep_rel_cop,1.705849385548655e-14,7.356475475178575e-14,True
L_MTLD,3.9333755208030434e-14,1.5964877113847645e-13,True
pos_AUX,8.066738887552756e-12,3.0922499068952234e-11,True
case_Gen,1.1193654391824076e-11,4.065063963346638e-11,True
gender_Neut,1.7577605772529606e-10,6.064273991522713e-10,True
dep_rel_mark,2.7088598983868443e-10,8.900539666128202e-10,True
pos_SCONJ,1.0467589760890336e-09,3.2830167886428783e-09,True
dep_rel_amod,3.3202546304125614e-09,9.960763891237686e-09,True
dep_rel_cc,7.805166666650602e-09,2.243985416662048e-08,True
dep_rel_advcl,8.697944404525843e-09,2.4006326556491327e-08,True
n_tokens,1.1539009863400054e-08,3.0622756945177064e-08,True
dep_rel_advmod,1.7730261282908066e-08,4.531066772298728e-08,True
case_Nom,2.8346025582892306e-08,6.985270590069889e-08,True
pos_CCONJ,9.823827958733559e-08,2.3373935488021227e-07,True
gender_Fem,1.1285031026169207e-06,2.5955571360189178e-06,True
case_Voc,4.207280832504613e-06,9.364592820736076e-06,True
pos_ADJ,2.880646944856702e-05,6.211394974847264e-05,True
dep_rel_obj,4.8814016806461276e-05,0.00010206567150441902,True
pos_INTJ,0.0001237149572767246,0.0002510685897674705,True
pos_PRON,0.0001772039558618134,0.0003482415969678305,True
L_Root_TTR,0.0001816912679832159,0.0003482415969678305,True
aspect_Perf,0.00025898896342408366,0.0004702694335858361,True
aspect_Imp,0.00025898896342408366,0.0004702694335858361,True
dep_rel_obl,0.0004941500922307483,0.0008742655477928624,True
dep_rel_appos,0.000857004138711097,0.0014783321392766423,True
case_Acc,0.0013648483653040872,0.00229693993185322,True
dep_rel_conj,0.0016362659989266417,0.002688151283950911,True
hapax_legomena,0.0022278218307552476,0.0035748768912119092,True
dep_distance_std,0.005191742061909428,0.00814159550617615,True
mood_Sub,0.006698592016935072,0.01027117442596711,True
n_types,0.011566025284462563,0.016979909460168443,True
dep_rel_parataxis,0.011464994939784723,0.016979909460168443,True
pos_NOUN,0.015057360712588432,0.021644956024345872,True
dep_rel_aux,0.022833847160332287,0.03215378477679444,True
pos_VERB,0.025217837366184773,0.03480061556533499,True
case_entropy,0.03726524852446369,0.04944811823438451,True
noun_verb_ratio,0.036639488076658525,0.04944811823438451,True
mood_Imp,0.03865018100660961,0.05031816017841628,False
dep_rel_fixed,0.051695999309624215,0.06605599911785316,False
mood_Opt,0.05899950701096364,0.07401756334102712,False
mood_entropy,0.06365853201098357,0.07843640551353331,False
mood_Ind,0.07732041200124024,0.09359839347518555,False
case_Dat,0.2112191145329716,0.25127791211681105,False
pos_ADP,0.26876705931887834,0.31432079818648484,False
dep_rel_xcomp,0.29413026137331655,0.33270472188129246,False
tense_Fut,0.29116091733872473,0.33270472188129246,False
dep_rel_case,0.301908165617527,0.3359945714130542,False
pos_PROPN,0.3103338222581432,0.3398894243779664,False
tense_Pres,0.35956514815493246,0.38765617535453656,False
tense_Past,0.4270023966178853,0.45327946717898593,False
dep_rel_flat,0.5232153435375395,0.5469978591528822,False
dep_rel_nsubj,0.6218269430600745,0.6403889413603752,False
dep_rel_ccomp,0.7254771365057673,0.7361459179249698,False
text_entropy,0.8366261060529392,0.8366261060529392,False
pos_PART,,,False
pos_PUNCT,,,False
pos_X,,,False
aspect_Aor,,,False
dep_rel_iobj,,,False
dep_rel_punct,,,False
