author,tlg_author,n_works_in_corpus,example_tlg_work,work_title,editor,edition_series,publisher,pub_place,year,perseus_version,license,source_url
Aeschines,tlg0026,3,tlg001,Κατὰ Τιμάρχου (In Timarchum),Charles Darwin Adams,The Speeches of Aeschines,"William Heinemann, Ltd.",London,1919,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0026/tlg001/tlg0026.tlg001.perseus-grc2.xml
Andocides,tlg0027,4,tlg001,Περὶ τῶν μυστηρίων (De mysteriis),Kenneth John Maidment,Minor Attic Orators,"William Heinemann, Ltd.",London,1941,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0027/tlg001/tlg0027.tlg001.perseus-grc2.xml
Antiphon,tlg0028,6,tlg001,Φαρμακείας κατὰ τῆς μητρυιᾶς (Against the Stepmother),Kenneth John Maidment,Minor Attic Orators,"William Heinemann, Ltd.",London,1941,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0028/tlg001/tlg0028.tlg001.perseus-grc2.xml
Demosthenes,tlg0014,60,tlg001,Ὀλυνθιακὸς α΄ (Olynthiac 1),Samuel Henry Butcher (or. 1-26); William Rennie (or. 27-61),Demosthenis Orationes,Clarendon Press,Oxford,1903-1931,perseus-grc2,not stated,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0014/tlg001/tlg0014.tlg001.perseus-grc2.xml
Dinarchus,tlg0029,3,tlg004,Κατὰ Δημοσθένους (Against Demosthenes),J. O. Burtt,Minor Attic Orators,"William Heinemann, Ltd.",London,1954,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0029/tlg004/tlg0029.tlg004.perseus-grc2.xml
Hyperides,tlg0030,6,tlg001,Ἀπολογία ὑπὲρ Λυκόφρονος (In Defence of Lycophron),J. O. Burtt,Minor Attic Orators,"William Heinemann, Ltd.",London,1954,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0030/tlg001/tlg0030.tlg001.perseus-grc2.xml
Isaeus,tlg0017,12,tlg001,Περὶ τοῦ Κλεωνύμου κλήρου (On the Estate of Cleonymus),Edward Seymour Forster,Isaeus with an English translation,Harvard University Press,"Cambridge, MA",1962,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0017/tlg001/tlg0017.tlg001.perseus-grc2.xml
Isocrates,tlg0010,21,tlg001,Πρὸς Εὐθύνους ἀμάρτυρος (Against Euthynus),Larue Van Hook,Isocrates (Loeb Classical Library),Harvard University Press,"Cambridge, MA",1945,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0010/tlg001/tlg0010.tlg001.perseus-grc2.xml
Lycurgus,tlg0034,1,tlg001,Κατὰ Λεωκράτους (Against Leocrates),J. O. Burtt,Minor Attic Orators,"William Heinemann, Ltd.",London,1954,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0034/tlg001/tlg0034.tlg001.perseus-grc2.xml
Lysias,tlg0540,3,tlg001,Ὑπὲρ τοῦ Ἐρατοσθένους φόνου ἀπολογία (On the Murder of Eratosthenes),W. R. M. Lamb,Lysias,William Heinemann Ltd.,London,1930,perseus-grc2,CC BY-SA 4.0,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0540/tlg001/tlg0540.tlg001.perseus-grc2.xml
